ï»¿country,SOC,SIC
921,1115,100
922,1116,110
923,1121,140
924,1122,150
925,1123,160
926,1131,170
831,1132,200
832,1133,300
931,1134,500
833,1135,600
372,1136,700
373,1139,800
250,1150,900
276,1161,1200
380,1162,1300
620,1171,1400
912,1172,1600
911,1173,1900
913,1181,2100
248,1184,2400
40,1190,3100
56,1211,3600
208,1213,3700
246,1221,3800
254,1223,3900
292,1224,4100
300,1225,4600
312,1226,4700
442,1241,4800
474,1242,5000
528,1251,5100
638,1252,5300
752,1253,6100
440,1254,6200
616,1255,6300
642,1259,6400
100,2111,6500
901,2112,6600
903,2113,6800
203,2114,7000
971,2119,7200
233,2121,7500
348,2122,7700
428,2123,7800
470,2124,7900
703,2126,8000
705,2127,8200
792,2129,8700
8,2133,9000
20,2134,9100
51,2135,9200
31,2136,9400
112,2137,9500
70,2139,9600
191,2141,9700
902,2142,9800
981,2150,9900
234,2211,1010
268,2212,1020
352,2213,1030
951,2214,1040
438,2215,1050
807,2216,1060
498,2217,1070
492,2218,1080
499,2219,1090
578,2221,1100
643,2222,1510
674,2223,1520
688,2229,1710
974,2231,1720
744,2232,1810
756,2311,1820
804,2312,2010
972,2314,2020
336,2315,2030
973,2316,2040
12,2317,2050
818,2318,2060
434,2319,2210
504,2412,2220
736,2413,2310
788,2419,2320
732,2421,2330
288,2423,2340
566,2424,2350
24,2425,2360
204,2426,2370
854,2429,2390
120,2431,2510
132,2432,2520
140,2433,2530
148,2434,2540
178,2435,2550
180,2436,2560
226,2442,2570
266,2443,2590
270,2444,2610
324,2449,2620
624,2451,2630
384,2452,2640
430,2461,2650
466,2462,2660
478,2463,2670
562,2471,2680
678,2472,2710
686,2473,2730
694,3111,2740
654,3112,2750
768,3113,2790
404,3114,2810
706,3115,2820
710,3116,2830
716,3119,2840
72,3121,2890
108,3122,2910
174,3131,2920
262,3132,2930
232,3213,3010
231,3216,3020
426,3217,3030
450,3218,3040
454,3219,3090
480,3231,3200
175,3233,3210
508,3234,3220
516,3235,3230
646,3239,3240
690,3311,3250
748,3312,3290
834,3313,3310
800,3314,3320
894,3315,3510
982,3319,3520
364,3411,3530
48,3412,4510
368,3413,4520
376,3414,4530
400,3415,4540
414,3416,4910
422,3417,4930
983,3421,4950
275,3422,5210
512,3441,5220
634,3442,5510
682,3443,5520
760,3511,5530
784,3512,5590
887,3513,5610
156,3520,5620
344,3531,5630
392,3532,5810
408,3533,5820
410,3534,5910
446,3535,5920
496,3536,6010
158,3537,6020
50,3538,6910
356,3539,6920
586,3541,7110
144,3542,7120
4,3543,7310
64,3544,7320
462,3545,7410
524,3546,7490
608,3550,8110
984,3561,8120
96,3562,8130
104,3563,8430
116,3564,8500
626,3565,8510
360,3567,8520
418,4112,8560
458,4113,8610
702,4114,8690
764,4121,8810
704,4122,8890
398,4123,9310
417,4124,9320
762,4129,8411
795,4131,8412
860,4132,8413
840,4133,8421
60,4134,8422
124,4135,8423
304,4138,8424
985,4151,8425
666,4159,8531
84,4161,8532
986,4162,8541
188,4211,8542
222,4212,8551
320,4213,8553
340,4214,8559
484,4215,8621
558,4216,8622
591,4217,8623
32,5111,
68,5112,
76,5113,
152,5114,
170,5119,
218,5211,
238,5212,
328,5213,
600,5214,
604,5215,
987,5216,
740,5221,
858,5222,
862,5223,
388,5224,
660,5225,
28,5231,
533,5232,
44,5234,
52,5235,
92,5236,
988,5237,
136,5241,
192,5242,
212,5244,
214,5245,
308,5249,
332,5250,
500,5311,
530,5312,
630,5313,
652,5314,
659,5315,
662,5316,
663,5319,
670,5321,
780,5322,
796,5323,
850,5330,
10,5411,
74,5412,
260,5413,
36,5414,
989,5419,
162,5421,
166,5422,
554,5423,
574,5431,
239,5432,
16,5433,
86,5434,
184,5435,
242,5436,
258,5441,
316,5442,
334,5443,
296,5449,
584,6121,
583,6122,
520,6123,
540,6125,
570,6126,
580,6131,
585,6132,
598,6139,
612,6141,
882,6142,
90,6143,
772,6144,
776,6145,
798,6146,
581,6147,
548,6148,
876,6211,
991,6212,
0,6214,
992,6215,
926,6219,
,6221,
,6222,
,6231,
,6232,
,6240,
,7111,
,7112,
,7113,
,7114,
,7115,
,7121,
,7122,
,7123,
,7124,
,7125,
,7129,
,7130,
,7211,
,7213,
,7214,
,7215,
,7219,
,7220,
,8111,
,8112,
,8113,
,8114,
,8115,
,8116,
,8117,
,8118,
,8119,
,8121,
,8122,
,8123,
,8124,
,8125,
,8126,
,8127,
,8129,
,8131,
,8132,
,8133,
,8134,
,8135,
,8137,
,8139,
,8141,
,8142,
,8143,
,8149,
,8211,
,8212,
,8213,
,8214,
,8215,
,8221,
,8222,
,8223,
,8229,
,8231,
,8232,
,8233,
,8234,
,8239,
,9111,
,9112,
,9119,
,9120,
,9132,
,9134,
,9139,
,9211,
,9219,
,9231,
,9232,
,9233,
,9234,
,9235,
,9236,
,9239,
,9241,
,9242,
,9244,
,9249,
,9251,
,9259,
,9260,
,9271,
,9272,
,9273,
,9274,
,9275,
,9279,
,3229,
