CCS_Household_ID,CCS_Resident_ID,Census_Household_ID,Census_Resident_ID,Person match status,Household cluster,Notes
76584091340717900,78880699187044100,35199596006496600,86350718051991500,1,0,Cluster 0 : unmatched households containing two matched people
76584091340717900,53501000128397900,35199596006496600,61247072219287500,1,0,
57572199561488900,86633784900706100,79847131312052800,25503071728061700,1,1,"Cluster 1: unmatched households contianing two matched persons, and one unmatched census and one unmatched ccs person"
57572199561488900,84766591039235100,79847131312052800,95197013546148200,1,1,
57572199561488900,66391568263601300,79847131312052800,,0,1,
57572199561488900,,79847131312052800,28278671445873700,0,1,
24451464728138400,,97058897368368500,34255084615396300,0,2,Cluster 2: a matched household containing no matched people
24451464728138400,,97058897368368500,53838289812645000,0,2,
24451464728138400,,92702240886556200,32337111168738700,0,2,
24451464728138400,,92702240886556200,32361190615418900,0,2,
24451464728138400,52665562085319000,92702240886556200,,0,2,
24451464728138400,9429154947018420000,92702240886556200,,0,2,
24451464728138400,91540690737110700,92702240886556200,,0,2,
25285997906069400,,81499455146447700,64983879376142200,0,3,"Cluster 3: A CCS household has matched to two different census households during deterministic matching, so cannot be automatically accepted. There are no matched people withn the household."
25285997906069400,,62246449629402200,33866724947565600,0,3,
25298271711589700,,62246449629402200,81750947471216800,0,3,
25285997906069400,80615494044152500,81499455146447700,,0,3,
25285997906069400,34613725293619700,81499455146447700,,0,3,
25298271711589700,11207596384384600,81499455146447700,,0,3,
25285997906069400,80615494044152500,62246449629402200,,0,3,
25285997906069400,34613725293619700,62246449629402200,,0,3,
25298271711589700,11207596384384600,62246449629402200,,0,3,
37878046727610200,87188887999463500,98907085513062800,94365674787731100,1,4,"Cluster 4: Associative: An unmatched Census household contains two matched people, both in different CCS households. The CCS household, contains people that have matched to 3 different Census  households. Cluster contains 2 CCS households and 3 census households."
37878046727610200,44557236257088100,32353867905380400,3554377837577260000,1,4,
37878046727610200,45626866326831300,38189801622595800,77680863365185300,1,4,
37878046727610200,,38189801622595800,94583150492822600,0,4,
37878046727610200,,38189801622595800,46726002937956000,0,4,
42505582053332200,91322944586557700,98907085513062800,78602373948037500,1,4,
42505582053332200,,38189801622595800,94583150492822600,0,4,
42505582053332200,,38189801622595800,46726002937956000,0,4,
37878046727610200,,32353867905380400,,0,4,
37878046727610200,,32353867905380400,,0,4,
37878046727610200,95827980266141900,32353867905380400,,0,4,
37878046727610200,52129729317702900,32353867905380400,,0,4,
37878046727610200,95827980266141900,38189801622595800,,0,4,
37878046727610200,52129729317702900,38189801622595800,,0,4,
37878046727610200,95827980266141900,98907085513062800,,0,4,
37878046727610200,52129729317702900,98907085513062800,,0,4,
93008177578751500,42512596124611700,41734831694475100,76786437793703700,1,5,Cluster 5: An unmatched CCS households contains 4 matched people and one unmatched person. All the matched people are in different single occupancy Census households.
93008177578751500,87819706324281300,95206018843001500,9210924930953370000,1,5,
93008177578751500,65039571002027800,83901525884315200,8078993587661710000,1,5,
93008177578751500,85724635766952800,95206018843001500,10036226049807700,1,5,
93008177578751500,74412241081523900,41734831694475100,,0,5,
93008177578751500,74412241081523900,95206018843001500,,0,5,
93008177578751500,74412241081523900,83901525884315200,,0,5,
93008177578751500,74412241081523900,95206018843001500,,0,5,
38845898761166500,16168923008640900,73124166050194400,6045782615191640000,1,6,
84064868971410000,59959190320229500,21767424691515900,,0,7,
84064868971410000,92464339018730900,21767424691515900,36498803453681700,1,7,
84064868971410000,,21767424691515900,57438037118844200,0,7,
44697890885502200,,65798944512510400,81571998142800700,0,8,
44697890885502200,,65798944512510400,46337820445893700,0,8,
44697890885502200,93557529800156300,65798944512510400,58150811404171200,1,8,
44697890885502200,41759030898978600,65798944512510400,74637181991377200,1,8,
44697890885502200,59776992105992100,65798944512510400,58068083612175400,1,8,
44697890885502200,57130343337258800,65798944512510400,,0,8,
44697890885502200,18834704192698400,65798944512510400,,0,8,
17166783171733800,79270166511583500,70010944841929500,37168641972117100,1,9,
32497260300302800,,70010944841929500,53682655400062100,0,9,
32497260300302800,37352445527892700,77791537019527000,60375276813618600,1,9,
32497260300302800,64991604694927300,70010944841929500,,0,9,
48130521871291300,43690301870521000,41501086694093600,81066316911038300,1,10,
48130521871291300,23160651214473300,41501086694093600,1981157661016170000,1,10,
48130521871291300,78728411138397700,41501086694093600,18582635588921000,1,10,
48130521871291300,97480246324141300,41501086694093600,87089735829099500,1,10,
48130521871291300,52386714591437400,41501086694093600,,0,10,
