CCS_resident_ID,Census_resident_ID,Rank,Unnamed: 3,Unnamed: 4
3180876512496801308,6988746752113805588,1,,
3180876512496801308,8203154270012792353,2,,
3180876512496801308,1746536651082605330,3,,
3180876512496801308,1900725515044373369,4,,
3180876512496801308,8697953704469798449,5,,
3180876512496801308,5792486475400625437,6,,
3180876512496801308,6577021751243530067,7,,
3180876512496801308,7003858208506967275,8,,
3180876512496801308,7508466690944471270,9,,
3180876512496801308,6458764631494059261,10,,
3180876512496801308,3557263946509433724,11,,
3180876512496801308,4850397171789013783,12,,
3180876512496801308,5800882682464059993,13,,
3180876512496801308,5548713015791973561,14,,
3180876512496801308,9501031499648001390,15,,
3180876512496801308,8021089357504611565,16,,
3180876512496801308,6771782084779822849,17,,
3180876512496801308,6739823321257255891,18,,
3180876512496801308,5900871109682763157,19,,
6538322491490668292,2194469982457367136,1,,
6538322491490668292,5825132559512165730,2,,
6538322491490668292,8618790804470866320,3,,
6538322491490668292,1710615389169365186,4,,
6538322491490668292,1790266976881110112,5,,
6538322491490668292,1342356162513901001,6,,
6538322491490668292,3757579024915803059,7,,
6538322491490668292,3753987594268988592,8,,
6538322491490668292,9274642641248078433,9,,
6538322491490668292,7051692818318772146,10,,
6538322491490668292,3779827489755374685,11,,
6189869613627773893,4195923382979461310,1,,
6189869613627773893,7961827637365836515,2,,
8498126385652248032,7430906543200907960,1,,
8498126385652248032,5068924159638509028,2,,
8498126385652248032,8598900302046565160,3,,
8498126385652248032,3951294566774570227,4,,
8498126385652248032,1755481828140246582,5,,
8498126385652248032,6549310468538886689,6,,
8498126385652248032,7336604476139447258,7,,
8498126385652248032,9274642641248078433,8,,
8498126385652248032,5633438775620221308,9,,
8498126385652248032,7784802664471245778,10,,
8498126385652248032,7896716069450251810,11,,
8498126385652248032,8311364654291988627,12,,
8498126385652248032,5147322899839203292,13,,
8498126385652248032,9256263590322938546,14,,
8498126385652248032,6258579739968835732,15,,
8498126385652248032,1258450015157460761,16,,
8498126385652248032,1738205775575195595,17,,
8498126385652248032,4361166915798465070,18,,
8498126385652248032,6445581651321803788,19,,
8498126385652248032,8581568755316990450,20,,
8498126385652248032,5508191955417931668,21,,
8498126385652248032,6341605450955303901,22,,
8498126385652248032,2497860114480815871,23,,
8498126385652248032,3538132002473986495,24,,
8498126385652248032,2575200946149983398,25,,
8498126385652248032,5729680421546351677,26,,
4646649941172269649,1065747722352857336,1,,
9902965254215105766,2778853565709467539,1,,
9902965254215105766,6958992185314627423,2,,
9902965254215105766,9277885736687407705,3,,
9902965254215105766,4308919190520232368,4,,
9902965254215105766,3427543820462642388,5,,
9902965254215105766,4776698782134030725,6,,
9902965254215105766,4867203657695476660,7,,
9902965254215105766,8039332104410231564,8,,
9902965254215105766,3043312907563786891,9,,
9902965254215105766,2243209510739391812,10,,
9902965254215105766,7072501404776581601,11,,
9902965254215105766,5017980776144642252,12,,
9902965254215105766,9021031594804999346,13,,
9902965254215105766,6474681323429151926,14,,
9902965254215105766,8196957605393082025,15,,
3149327471598807829,8600619311517339162,1,,
3149327471598807829,3919963379623402182,2,,
3149327471598807829,5547432437815704030,3,,
3149327471598807829,8220404008505806472,4,,
3149327471598807829,2922728819229489220,5,,
3149327471598807829,4160790408118905163,6,,
3149327471598807829,2717787130560101428,7,,
3149327471598807829,1441098701221753491,8,,
3149327471598807829,8220498798240464345,9,,
3149327471598807829,6293300182297167280,10,,
3149327471598807829,2167290326726331212,11,,
3149327471598807829,2091234292826195353,12,,
3149327471598807829,5103972926961840804,13,,
3149327471598807829,1370402998852980854,14,,
3149327471598807829,5414697177838284830,15,,
3149327471598807829,3311710404747674839,16,,
3149327471598807829,7943779452252649682,17,,
3149327471598807829,9808311593743539747,18,,
3149327471598807829,8476950836236626152,19,,
3149327471598807829,8290952933544718814,20,,
3149327471598807829,6507882223005187639,21,,
3149327471598807829,2913907821778532788,22,,
3149327471598807829,1227003269265708071,23,,
3417964116215139058,1669057599157155365,1,,
3417964116215139058,8911202924295289531,2,,
3417964116215139058,1904546841866491875,3,,
3417964116215139058,9568667766912963153,4,,
3417964116215139058,8732537163869114974,5,,
3417964116215139058,7020193050720830528,6,,
3417964116215139058,4026381318745766915,7,,
3417964116215139058,8637026726751111864,8,,
3417964116215139058,6171550633247251970,9,,
1746428076467025604,3701371282690206802,1,,
1746428076467025604,2577281213493034284,2,,
1746428076467025604,4213520450797293119,3,,
1746428076467025604,4367440555725774527,4,,
1746428076467025604,8795055639790823760,5,,
1746428076467025604,5019091261474379615,6,,
1746428076467025604,1095086161045470439,7,,
1746428076467025604,3792985324899530791,8,,
1746428076467025604,7057848766479717728,9,,
1746428076467025604,5096991449384127385,10,,
1746428076467025604,1887124283100497600,11,,
1746428076467025604,1210899351902844623,12,,
1746428076467025604,3513340704403473113,13,,
1746428076467025604,8588668820305570984,14,,
1746428076467025604,1117318908130975394,15,,
1746428076467025604,3087957567615205538,16,,
1746428076467025604,7041612234904676216,17,,
1746428076467025604,8725638434469379343,18,,
1746428076467025604,9149292630355094921,19,,
1746428076467025604,2645423960864269174,20,,
2137967295217115421,8543042389518990143,1,,
2137967295217115421,9253916070239486520,2,,
2137967295217115421,8796936217472877194,3,,
2137967295217115421,8796327171107153847,4,,
2137967295217115421,5504895329504098080,5,,
8323376647914745757,2300033254351427743,1,,
8323376647914745757,8310661091254049746,2,,
8323376647914745757,4865716442915826546,3,,
8323376647914745757,2752870904533693151,4,,
8323376647914745757,9526828972554660122,5,,
8323376647914745757,3280996206401254456,6,,
8323376647914745757,2499963266336276837,7,,
8323376647914745757,5537583891070694453,8,,
8323376647914745757,3898347834022039565,9,,
8323376647914745757,3196698043636404081,10,,
8323376647914745757,7599556831648070719,11,,
8323376647914745757,3661737960585241905,12,,
6189869613627773893,2579870505434400941,1,,
6189869613627773893,5773853443179987486,2,,
6189869613627773893,8229268329217526116,3,,
6189869613627773893,7361370435512299256,4,,
6189869613627773893,7081385108324351810,5,,
6189869613627773893,4495534688191691573,6,,
8081705619904399907,5736473435792531226,1,,
2288818483689762785,7446282409291970677,1,,
2288818483689762785,4557957955727474822,2,,
2288818483689762785,8286504405187516640,3,,
2288818483689762785,9323528764273911917,4,,
2288818483689762785,1596188605615098303,5,,
2288818483689762785,7775642850909854450,6,,
2288818483689762785,3786845077595741746,7,,
2288818483689762785,7171504382984249794,8,,
2288818483689762785,1582605307656678213,9,,
2288818483689762785,3531421141635974591,10,,
2288818483689762785,9978629930456877611,11,,
2288818483689762785,6771599970126313178,12,,
2288818483689762785,4117840123784632174,13,,
2288818483689762785,5805657874622078821,14,,
1613704431469082601,1826638629442311625,1,,
1613704431469082601,6501803939904888490,2,,
1613704431469082601,9441339925295162949,3,,
1613704431469082601,8851338721388897715,4,,
1613704431469082601,9275291788016591079,5,,
1613704431469082601,9810441599586498621,6,,
1613704431469082601,6731613794235600703,7,,
1613704431469082601,2856245946411524206,8,,
1613704431469082601,4432824194451779118,9,,
7160774733290801943,8865736434891522195,1,,
7160774733290801943,7379033413184606284,2,,
7160774733290801943,6062029605280946943,3,,
7160774733290801943,3512325000680156944,4,,
7160774733290801943,2645007770152427564,5,,
7160774733290801943,7615190400311494997,6,,
7160774733290801943,2368620834328612136,7,,
7160774733290801943,5461934961762480843,8,,
7160774733290801943,2542691663280616771,9,,
7160774733290801943,8960745858222086627,10,,
7160774733290801943,3581202415125959457,11,,
7160774733290801943,6681408375240891335,12,,
7160774733290801943,1499080427525040787,13,,
7160774733290801943,2173591367770839546,14,,
7160774733290801943,8883375350982613363,15,,
7160774733290801943,9473903639292172488,16,,
7496536461273417248,6715728169745597930,1,,
7496536461273417248,7352660852709530799,2,,
7496536461273417248,3550089789676019886,3,,
7496536461273417248,8314231750069596756,4,,
7496536461273417248,8207184582436672122,5,,
7496536461273417248,7553197142579622907,6,,
7496536461273417248,9724302547942682034,7,,
7496536461273417248,6706638730592615161,8,,
7496536461273417248,9500798286519102534,9,,
7496536461273417248,8282125389134258214,10,,
7496536461273417248,4271881786855927540,11,,
7496536461273417248,2468812457236404508,12,,
7496536461273417248,1514393942340971707,13,,
7496536461273417248,2389600919758687108,14,,
7496536461273417248,7696167750757682279,15,,
7496536461273417248,5479193913286436255,16,,
7496536461273417248,7115146745762775753,17,,
7496536461273417248,7743276858239884964,18,,
7496536461273417248,4118690643282831407,19,,
7496536461273417248,2585903974903177833,20,,
7496536461273417248,4434299958495103860,21,,
7496536461273417248,4656077086319354104,22,,
7496536461273417248,6817725650167213340,23,,
2149008984074782686,6558618854169356856,1,,
2149008984074782686,9803941610741363106,2,,
2149008984074782686,9290475663110247113,3,,
2149008984074782686,6643801594799449138,4,,
3029747873095581537,2704271695911122464,1,,
3417964116215139058,6248662875961195669,1,,
3417964116215139058,8653680296072038710,2,,
3417964116215139058,4410048266217028690,3,,
3417964116215139058,7865705928026087548,4,,
3417964116215139058,4771839566236390181,5,,
3417964116215139058,1347881786314402036,6,,
3417964116215139058,1816524295138612884,7,,
3417964116215139058,4980253931453136994,8,,
3417964116215139058,4562606478774405131,9,,
3417964116215139058,9384704667412965884,10,,
3506908259772956158,9462684471024224704,1,,
3506908259772956158,8555525862385469039,2,,
3506908259772956158,9241000425459797331,3,,
3506908259772956158,7013671703542089770,4,,
9440855197116579268,8253705220595772771,1,,
9440855197116579268,6576746514917370080,2,,
9440855197116579268,6164175410815493955,3,,
9440855197116579268,7711102896922120371,4,,
9440855197116579268,5274219089940801319,5,,
9440855197116579268,7766469359678056608,6,,
9440855197116579268,2195162150108937879,7,,
9440855197116579268,9117600455699086503,8,,
3544275988290272723,6413430428136621023,1,,
3544275988290272723,1220598505359698262,2,,
3544275988290272723,3202217820928517229,3,,
3544275988290272723,3189298215754043545,4,,
3544275988290272723,3246107512555854488,5,,
2414870038183647225,6617035143399340719,1,,
2414870038183647225,3900492285223075126,2,,
2414870038183647225,9726791746652138833,3,,
8225289209881381882,5909874258461666150,1,,
8225289209881381882,2761524006910661888,2,,
8225289209881381882,6537160379808002925,3,,
8225289209881381882,4832693300597860227,4,,
8225289209881381882,6222791757509245334,5,,
8225289209881381882,6694572683456727903,6,,
8225289209881381882,8244531531440152690,7,,
8225289209881381882,3289480267787505067,8,,
8225289209881381882,2117068336777919137,9,,
8225289209881381882,1380905512816764569,10,,
8225289209881381882,2174689532952141417,11,,
8225289209881381882,8412910788165242694,12,,
8225289209881381882,3732715817260963473,13,,
8225289209881381882,1293369396531413832,14,,
8225289209881381882,4320746732317931578,15,,
8225289209881381882,5185875469557646188,16,,
8225289209881381882,1381771914616068852,17,,
2427704166112638786,4041206826569436726,1,,
2427704166112638786,9087334810089875124,2,,
2427704166112638786,6629933524398813657,3,,
2427704166112638786,9040485636728936068,4,,
9008487527701247234,9313194055089247615,1,,
9008487527701247234,5935006857591709300,2,,
9008487527701247234,9490684424953746178,3,,
9008487527701247234,5021107245040335001,4,,
9008487527701247234,8864252937510532770,5,,
9008487527701247234,5612701849230907068,6,,
9008487527701247234,3719379264217625215,7,,
9008487527701247234,8182784800398063321,8,,
9008487527701247234,2837392852787673946,9,,
9008487527701247234,6881359044107434301,10,,
9008487527701247234,4865994474774552933,11,,
9008487527701247234,8305645166451925358,12,,
9008487527701247234,2951899862488192250,13,,
9008487527701247234,7927497026869752037,14,,
9008487527701247234,5438815133175622141,15,,
9008487527701247234,6178931395106510847,16,,
9008487527701247234,3571631196953715126,17,,
9008487527701247234,9455142327213731875,18,,
9008487527701247234,4694495438789093199,19,,
9008487527701247234,8166368125052472582,20,,
9008487527701247234,8592984949194601996,21,,
9008487527701247234,2157868836263828839,22,,
9008487527701247234,4009815216438473689,23,,
9008487527701247234,5764473797713295415,24,,
9008487527701247234,3727474820496691693,25,,
9008487527701247234,6991825995951663301,26,,
5748098721463995046,9484735174557791444,1,,
5748098721463995046,4457231543366713012,2,,
5748098721463995046,6443964252933629690,3,,
5748098721463995046,8101121071703700173,4,,
5748098721463995046,6058415894353124840,5,,
5748098721463995046,1083156431472850534,6,,
5748098721463995046,7495344572020780820,7,,
5748098721463995046,3307777532062686058,8,,
5748098721463995046,5022212223616421181,9,,
5748098721463995046,1782969602246775009,10,,
5748098721463995046,6583134815827134791,11,,
5748098721463995046,7387708040553809100,12,,
5748098721463995046,1937249656141866448,13,,
5748098721463995046,1592381400896832512,14,,
5748098721463995046,3209494041464640601,15,,
5748098721463995046,7980639186547152033,16,,
1975294819565396756,3461537757854134187,1,,
1975294819565396756,8558253463286083670,2,,
1975294819565396756,5343799124252501957,3,,
1975294819565396756,4962450998375455601,4,,
1975294819565396756,4080799304848358193,5,,
1975294819565396756,5031940058160407357,6,,
1975294819565396756,5692904865903982124,7,,
1975294819565396756,6593936407222449396,8,,
1975294819565396756,6192622771608679597,9,,
1975294819565396756,1977766167833932722,10,,
1975294819565396756,6351486773942412172,11,,
1975294819565396756,6950279597609165184,12,,
1975294819565396756,7675432089889269961,13,,
1975294819565396756,9652448846913059595,14,,
1975294819565396756,5392347908110166596,15,,
1975294819565396756,7690493050056834747,16,,
1975294819565396756,4182151025300055095,17,,
1975294819565396756,9575090770318066153,18,,
1975294819565396756,9445028730633769483,19,,
1975294819565396756,3951741306456272941,20,,
