CE_Address,CE_Address_Postcode,CE_ID,CE_OA,Nature_Of_Establishment,Number_Of_Residents
"188 Davis trace, Dianaport",CB5 8NN,77699294927231208,E00135726,2,15
"719 James lock, East Rachelmouth",B1 7GD,13050760883209356,E00135650,-7,39
"77 Simpson turnpike, South Paula",EN1 5PW,67894606889596098,E00152558,21,19
"Flat 18A
Jodie avenue, East Dannytown",GY96 7RU,67269251271766574,E00135580,5,11
"641 Sylvia ferry, Port Damienland",CF8Y 3LE,46885112899184854,E00120140,20,15
"Flat 21
Whittaker lock, Billybury",E06 1UD,49801278543772843,E00142178,2,24
"75 Barnett divide, East Normanhaven",E87 2SE,67480952647961140,E00165426,1,15
"64 Allen mount, Cookside",TN8P 0NW,85857077770267177,E00169671,16,11
"497 Grace route, Port Mohammed",B8U 3BN,67114869144030970,E00171432,12,6
"71 Clark spring, South Abigailmouth",RM8 4SJ,12342403341945504,E00153526,8,20
"3 Harrison estate, Simpsonview",L25 9HR,96612305755805680,E00120004,11,31
"Studio 4
Geoffrey estates, Smithfort",GU88 8GS,71734068209679749,E00164588,18,21
"90 Sarah lodge, Vaughanchester",S2T 6QX,24590555357585736,E00171585,14,10
"Flat 0
Hunt spring, Jackburgh",E7 8US,68014699818632828,E00119817,21,19
"274 Stanley crescent, Lydiamouth",G4 9BH,51062142317287020,E00135759,-9,49
"1 Jones lakes, Port Hayleyburgh",B16 1YU,33383556810757563,E00164378,5,16
"Flat 16
Carolyn springs, East Bryanshire",N93 4FS,56111166116442365,E00119860,12,29
"34 Michael brooks, North Robin",HD3 2UT,98414266545655366,E00037144,22,10
"6 Joel meadow, Fieldview",B1K 3RW,62430035506199782,E00152666,2,38
"Studio 99y
Allen forest, Port Paulside",WC9 6WG,42932270634196018,E00119822,22,43
"19 Kirsty square, Woodhaven",S0 0PL,75523924091819069,E00135510,22,34
"64 Pauline fort, North Wendy",IP0V 2NA,66106740622678848,E00135698,7,10
"Studio 06u
Dawn circles, Peacockberg",L47 2TJ,31647661354331164,E00165649,11,34
"0 Dennis summit, Charlenehaven",RH1 2PB,70142758997877941,E00153417,21,24
"8 Francis walks, South Mitchell",G7 1PL,47117518193825936,E00165420,21,33
"Studio 93C
Benson center, East Helenhaven",PL63 6PB,15467620335299695,E00135569,19,10
"Studio 50
Jack garden, West Jameston",W8 7SZ,25764251719893527,E00120062,15,24
"77 Jennifer square, Rickytown",KT0X 3XL,31512800998029430,E00135474,20,43
"034 Kay points, Gemmastad",N5 9RU,30337906707847271,E00163913,16,37
"318 Thomas row, Barryhaven",NP1 4JS,46551473513819499,E00135806,1,15
"Flat 38
Gregory pine, Lake Georgechester",M8A 5LP,24444010748641768,E00171442,6,44
"Studio 60
Daniels forest, Jadeview",G0 2DP,20948180452229448,E00164593,8,6
"Flat 65
Hollie coves, West Staceyside",OL5 6YB,17799269748924769,E00135712,11,36
"041 Powell river, North Georgina",SA6X 1SD,80827021855467831,E00164549,-7,19
"Flat 8
Chambers extensions, Laurastad",TN3 3PL,86530638340933247,E00165347,-7,35
