,CE_ID,CE_Address,CE_Address_Postcode,CE_OA,CE_UPRN,Nature_Of_Establishment,Number_Of_Residents
0,38497348567961843,"4 Ashley points, New Terryshire",BR88 2QB,E00165650,60526013667,4,48
1,22586411870432271,"38 Gemma mountains, Rogerchester",BL4 8WL,E00120138,136918671614,16,31
2,91404906997013659,"06 Marion estate, New Mitchellside",PE1H 2TX,E00135607,347645136643,22,16
3,67664095602693315,"Studio 04
Clark light, West Carolyn",L96 6UX,E00165631,13752278728,20,32
4,15735101490364135,"Studio 3
Johnson camp, South Kieran",G79 8DN,E00153480,334682905611,2,12
5,72646655338159459,"Flat 01C
French lodge, New Abdul",HG6Y 2SW,E00165366,577035004393,4,34
6,75058144330289699,"9 Duncan curve, North Andreafort",G3 1YB,E00164385,574557771843,5,14
7,49380884078361800,"0 Bailey glens, East Kimberley",G4E 5FF,E00165405,301172825388,1,33
8,39277729853124921,"Flat 40J
Connolly glen, Katebury",TA7 0PR,E00120001,296708083280,-9,15
9,43973499303994003,"Flat 6
Patel ridge, Port Jessicaburgh",S19 4ZS,E00135741,25513704840,8,39
10,78848684731414498,"897 Ben street, West Dianashire",E1 4TB,E00153402,859963981276,4,16
11,60167964157340265,"384 Maurice coves, Goughport",B97 8XR,E00165355,494161255207,-9,27
12,15960269114338492,"8 Burton neck, South Malcolm",M2 6XZ,E00119814,252207468756,4,14
13,32008292006076794,"Flat 05
Bradley via, Bibifurt",B0A 3TE,E00152629,688676144839,11,12
14,76979115505579750,"Studio 59
Smith valley, North Billyport",L4S 2AN,E00119971,233708408108,4,34
15,34818200804401392,"40 Donna forks, Marcusside",BA7Y 5RR,E00153564,13479472844,13,29
16,99927250987613090,"Flat 7
Wright flats, South Katieland",WA35 8BT,E00153398,636927889243,16,19
17,68953492075440559,"18 Wilkinson islands, Lloydside",WV2 6HB,E00153388,156442647496,-9,9
18,71984165540299542,"Studio 85
Field pine, South Derek",WN34 8NU,E00135680,898504100125,18,31
19,31028609550111117,"Studio 8
Poole trafficway, Hallport",N1C 5NW,E00170122,356133420101,6,48
20,26061932961251546,"Studio 97
Terry park, Port Lynn",TQ0R 3QZ,E00169943,487710048786,-9,8
21,63527637473361452,"Flat 97g
Mathew gateway, Kimchester",G8T 0QN,E00141238,217801256387,16,24
22,42887964977829193,"3 Terence harbor, Clareside",S0 0BT,E00135428,525074926834,13,20
23,75580191944353713,"203 Kerry fort, Port Gillian",SG3W 9EF,E00141255,774603334709,20,48
24,96006465425447254,"950 Wilson stream, Eileenbury",EX51 3HX,E00141231,241407419754,3,33
25,69020395199044179,"4 Hilton station, New Rosemarymouth",TQ7 3QD,E00152670,854807462819,8,41
26,35102373749087255,"4 Morrison port, Port Elaine",S68 8JP,E00141232,347968769569,5,37
27,11270515999666090,"Flat 13i
Mason hill, Robinsontown",S34 7GB,E00120090,50114807202,18,31
28,68259347870680955,"Studio 92R
Yates trace, East Marilynchester",L4C 2FQ,E00163841,259023874768,14,45
29,49822128144054672,"Flat 0
Hall mission, Samanthaland",PH45 9PW,E00164492,737601653755,-7,39
30,36732973942159700,"Flat 44N
Atkinson land, Port Joseph",TR85 2SG,E00135572,990282788271,12,13
31,92186097015105647,"Flat 44
Stephen squares, Bryantbury",G6 0AA,E00165650,84546731036,1,31
32,92348596195424789,"Studio 74u
Eric river, Teresashire",N8 0DB,E00135633,125090892641,2,49
33,16774186686136851,"Studio 22c
Ali vista, Jacquelineshire",E09 6SH,E00164486,519482489192,17,20
34,13876107897884729,"30 Frost plains, West Eleanormouth",HX9A 5PW,E00164401,190721427688,20,38
35,57250539474622325,"Studio 77Q
Wilkins field, Bateschester",CA2B 0BE,E00135428,525944721746,9,25
36,12699679920657609,"Studio 24v
Hughes fort, North Lesliefort",S9 8HF,E00135681,509953697052,12,28
37,54719546074151672,"Studio 36o
Jones village, West Matthew",W7J 5YU,E00120161,856856331922,11,42
38,37006157207753171,"1 Pauline viaduct, North Jacobberg",LA73 5WB,E00119915,129784997644,8,41
39,12603207450081860,"51 Watson underpass, North Katiemouth",CV8M 9ZQ,E00173927,700028290756,6,29
40,28009708052987503,"43 Lisa pines, Danielleborough",OX4W 1EX,E00164484,360403120373,18,37
41,85069768176092894,"1 Little glens, North Chloe",E34 9GP,E00152636,743591976489,5,19
42,82981760729405714,"Flat 9
Joan club, Lake Amanda",N0G 9FG,E00135650,318355752172,22,8
43,33301879572431773,"597 Jayne rue, Barbarashire",G2 4ST,E00119965,449374986450,12,11
44,29849095210500791,"585 Foster radial, Jonathanton",W9U 9TS,E00163843,339409656625,12,19
45,23238909964780110,"099 Foster mission, Port Susanhaven",E56 7DL,E00037161,510864906257,21,7
46,43609170353235500,"Flat 71
Louise mountains, Terencestad",N95 7HF,E00120076,639458987601,-9,7
47,48651892687834100,"Studio 93
Carole locks, Lake Joseph",M48 5WE,E00142121,282276507907,11,33
48,78685666474488946,"Flat 16b
Barker parkways, Katyshire",WN84 2ZQ,E00164012,686631512361,16,28
49,67003455750584259,"Flat 79s
Kyle park, Briggsfort",TF3W 6WF,E00153474,236272423107,22,7
