Resident_ID,Related_Resident_ID,Relationship
8311839489027241455,3585514309744300452,11
9897245461948946363,1130282799473168815,7
9897245461948946363,1926749765829141245,-7
1130282799473168815,1926749765829141245,9
9897245461948946363,3281724783923517715,7
1130282799473168815,3281724783923517715,9
1926749765829141245,3281724783923517715,12
8639680779666768160,5007830770687010920,2
2626147198127381480,4723596776018981126,11
2626147198127381480,1553453464415106772,7
4723596776018981126,1553453464415106772,9
5483861638570547416,9725271028331927417,5
5483861638570547416,2717397939349433491,9
9725271028331927417,2717397939349433491,9
2260176501271810551,1995151655830573611,10
2260176501271810551,5388581081883362571,7
1995151655830573611,5388581081883362571,2
7626307274775431282,6994358454590657472,2
7626307274775431282,3163046801177724062,7
6994358454590657472,3163046801177724062,8
7626307274775431282,2224132640694526556,12
6994358454590657472,2224132640694526556,6
3163046801177724062,2224132640694526556,12
7626307274775431282,6835182618716494804,2
6994358454590657472,6835182618716494804,-7
3163046801177724062,6835182618716494804,3
2224132640694526556,6835182618716494804,-7
7891145455701823440,4174390536139173305,3
7891145455701823440,1311059434070335550,8
4174390536139173305,1311059434070335550,11
5799892582552225905,5292833244239691823,2
5799892582552225905,1960089842918948602,7
5292833244239691823,1960089842918948602,1
5799892582552225905,8316382259619753691,6
5292833244239691823,8316382259619753691,6
1960089842918948602,8316382259619753691,8
5799892582552225905,8463097186091064144,2
5292833244239691823,8463097186091064144,6
1960089842918948602,8463097186091064144,1
8316382259619753691,8463097186091064144,-7
2191860307611284392,7079575151602891261,9
2191860307611284392,3967546833924,4
7079575151602891261,3967546833924,6
2191860307611284392,8525134383703576047,-7
7079575151602891261,8525134383703576047,9
3967546833924,8525134383703576047,8
4318858773757797916,2699377848129649554,6
4318858773757797916,3099220827975510291,2
2699377848129649554,3099220827975510291,5
4318858773757797916,3649612537316200680,8
2699377848129649554,3649612537316200680,3
3099220827975510291,3649612537316200680,11
7934085205939900403,5995957745599088603,-7
3202217820928517229,3189298215754043545,11
3202217820928517229,1220598505359698262,3
3189298215754043545,1220598505359698262,8
3202217820928517229,3246107512555854488,3
3189298215754043545,3246107512555854488,-9
1220598505359698262,3246107512555854488,7
3202217820928517229,1868268868913245711,1
3189298215754043545,1868268868913245711,8
1220598505359698262,1868268868913245711,9
3246107512555854488,1868268868913245711,2
2114406575180925412,9874177498962819328,10
4483303124487410488,9493490123560772638,10
4483303124487410488,4100383144757133952,12
9493490123560772638,4100383144757133952,2
4483303124487410488,9082553234261258569,7
9493490123560772638,9082553234261258569,7
4100383144757133952,9082553234261258569,1
5554453777380648210,6834228891585082492,5
5554453777380648210,4233701616329421050,2
6834228891585082492,4233701616329421050,8
5554453777380648210,5874314543551500041,-9
6834228891585082492,5874314543551500041,6
4233701616329421050,5874314543551500041,-7
1485993473438485186,4957404262394943582,8
8027961080678922415,5490232756413457830,9
8027961080678922415,5694109239343882108,1
5490232756413457830,5694109239343882108,4
8027961080678922415,5260086244209447620,10
5490232756413457830,5260086244209447620,8
5694109239343882108,5260086244209447620,3
8027961080678922415,9218052014190951808,8
5490232756413457830,9218052014190951808,11
5694109239343882108,9218052014190951808,9
5260086244209447620,9218052014190951808,2
6138059171751307248,3335411839813519784,7
6138059171751307248,7205013013888887863,2
3335411839813519784,7205013013888887863,8
8900395158440483786,2622010269619233653,6
8900395158440483786,3637513549400180188,6
2622010269619233653,3637513549400180188,5
3024245234120058201,3913169417667219162,7
3024245234120058201,2029194484567964899,6
3913169417667219162,2029194484567964899,11
8727939053836475724,4744190714905901488,10
8727939053836475724,3625607395756277851,12
4744190714905901488,3625607395756277851,2
8727939053836475724,3967930217891276866,4
4744190714905901488,3967930217891276866,10
3625607395756277851,3967930217891276866,5
9868059345578184218,3252407922088244798,1
9868059345578184218,8590407745093733097,1
3252407922088244798,8590407745093733097,6
4177443310822206310,5792185210644682757,10
4177443310822206310,9067444049963803373,12
5792185210644682757,9067444049963803373,12
4177443310822206310,1608564845540146784,9
5792185210644682757,1608564845540146784,4
9067444049963803373,1608564845540146784,2
4177443310822206310,1035098159093822280,8
5792185210644682757,1035098159093822280,5
9067444049963803373,1035098159093822280,-9
1608564845540146784,1035098159093822280,8
3504971870328379771,2778240874149032826,10
3504971870328379771,9904938689338736969,11
2778240874149032826,9904938689338736969,-7
3504971870328379771,1115486823285540051,-9
2778240874149032826,1115486823285540051,11
9904938689338736969,1115486823285540051,10
5911204683653971816,6774922915246629366,-7
5005676710519716725,9381939044886316665,4
1148873113507265837,1073914069876682253,9
9401180953400233740,8607523948256947497,3
1244491605347919426,4635927098905055811,-9
1244491605347919426,9977990657231879778,-7
4635927098905055811,9977990657231879778,2
1244491605347919426,2625172469551159752,7
4635927098905055811,2625172469551159752,6
9977990657231879778,2625172469551159752,9
4390314055847239934,6072594270631110592,2
4390314055847239934,8042322277875421283,11
6072594270631110592,8042322277875421283,4
4390314055847239934,7715074919683453476,6
6072594270631110592,7715074919683453476,11
8042322277875421283,7715074919683453476,11
3995994563367758702,5622414698847864355,1
3995994563367758702,3186267677419735910,6
5622414698847864355,3186267677419735910,3
3995994563367758702,8277507242016410058,-7
5622414698847864355,8277507242016410058,4
3186267677419735910,8277507242016410058,2
3995994563367758702,1890147460178065496,-9
5622414698847864355,1890147460178065496,6
3186267677419735910,1890147460178065496,7
8277507242016410058,1890147460178065496,1
9792331221342637707,2461824411426610278,8
9448270069163963000,6217601548041205726,7
9448270069163963000,3514459183776450778,7
6217601548041205726,3514459183776450778,10
9448270069163963000,6007352934339223326,11
6217601548041205726,6007352934339223326,-7
3514459183776450778,6007352934339223326,-9
5901832222017328828,1532756160081898628,4
4644174710016468622,4507560578133738465,9
4644174710016468622,1482513254018181235,8
4507560578133738465,1482513254018181235,11
4644174710016468622,4183594009665386916,7
4507560578133738465,4183594009665386916,6
1482513254018181235,4183594009665386916,-9
4644174710016468622,3732708089405399648,4
4507560578133738465,3732708089405399648,6
1482513254018181235,3732708089405399648,10
4183594009665386916,3732708089405399648,7
2243317138825301497,1904362253282749029,3
3745250806448941782,6292499045197960373,9
3745250806448941782,7344378829965559247,5
6292499045197960373,7344378829965559247,7
3745250806448941782,5463691950702193865,10
6292499045197960373,5463691950702193865,7
7344378829965559247,5463691950702193865,7
3745250806448941782,6689483358255565170,2
6292499045197960373,6689483358255565170,5
7344378829965559247,6689483358255565170,-9
5463691950702193865,6689483358255565170,7
7876596260705751661,5492813532971596702,1
7876596260705751661,2349796882992422360,4
5492813532971596702,2349796882992422360,3
7876596260705751661,8795024243929991892,-7
5492813532971596702,8795024243929991892,9
2349796882992422360,8795024243929991892,10
7876596260705751661,8772635122846827060,12
5492813532971596702,8772635122846827060,2
2349796882992422360,8772635122846827060,3
8795024243929991892,8772635122846827060,7
6006380367996843777,4643176571806086384,-9
6797635983306717083,7658312806008269374,10
8135618889522947964,8666267380548327700,-9
8135618889522947964,9332221012196596626,10
8666267380548327700,9332221012196596626,7
8135618889522947964,7699843605905396699,10
8666267380548327700,7699843605905396699,4
9332221012196596626,7699843605905396699,1
8135618889522947964,9817332120860505625,9
8666267380548327700,9817332120860505625,12
9332221012196596626,9817332120860505625,5
7699843605905396699,9817332120860505625,6
3503502917457423150,9816040421440663813,4
3503502917457423150,4698082215480158381,9
9816040421440663813,4698082215480158381,3
6480891361338773242,1564433921623538849,1
6480891361338773242,2386464622219893930,1
1564433921623538849,2386464622219893930,5
6480891361338773242,1153679392639532945,-9
1564433921623538849,1153679392639532945,12
2386464622219893930,1153679392639532945,9
9471296773081963102,6270179047738702604,7
9471296773081963102,8108183914704123128,2
6270179047738702604,8108183914704123128,10
9907562856850038179,4057885734072087770,11
9907562856850038179,6538104863765321113,1
4057885734072087770,6538104863765321113,11
9907562856850038179,2193990325596397197,6
4057885734072087770,2193990325596397197,1
6538104863765321113,2193990325596397197,1
8971310215192665623,7128631554519944879,9
8971310215192665623,5762289696810334367,9
7128631554519944879,5762289696810334367,7
8971310215192665623,5694568670187863296,3
7128631554519944879,5694568670187863296,2
5762289696810334367,5694568670187863296,3
4668588791320341601,6900654834065038581,3
4668588791320341601,7568293111399852940,10
6900654834065038581,7568293111399852940,4
4668588791320341601,9033194680423264616,11
6900654834065038581,9033194680423264616,-7
7568293111399852940,9033194680423264616,12
4668588791320341601,7020736750184077380,5
6900654834065038581,7020736750184077380,4
7568293111399852940,7020736750184077380,1
9033194680423264616,7020736750184077380,3
4221062710231853346,8526583637560334152,8
6369808580681068714,1708623817767254543,8
4266050078465678468,4954455388982245097,8
4266050078465678468,8822973189860294421,1
4954455388982245097,8822973189860294421,6
4266050078465678468,3211003758608491724,5
4954455388982245097,3211003758608491724,8
8822973189860294421,3211003758608491724,5
4266050078465678468,6713745618807725597,4
4954455388982245097,6713745618807725597,-9
8822973189860294421,6713745618807725597,2
3211003758608491724,6713745618807725597,11
4266050078465678468,2341228664752866250,-9
4954455388982245097,2341228664752866250,10
8822973189860294421,2341228664752866250,4
3211003758608491724,2341228664752866250,5
6713745618807725597,2341228664752866250,6
8310636795024439287,7850367029840971532,12
8087554906180394771,6418870406873694238,11
8087554906180394771,6089552276389642315,4
6418870406873694238,6089552276389642315,4
8087554906180394771,9930063238512256442,6
6418870406873694238,9930063238512256442,11
6089552276389642315,9930063238512256442,9
8087554906180394771,6990893168925502963,3
6418870406873694238,6990893168925502963,12
6089552276389642315,6990893168925502963,-7
9930063238512256442,6990893168925502963,7
4972206180322001982,4370909163415185843,3
4972206180322001982,9630483011257373012,9
4370909163415185843,9630483011257373012,5
4972206180322001982,6624299538723368463,-7
4370909163415185843,6624299538723368463,4
9630483011257373012,6624299538723368463,5
1294420146031087814,5287630084761234524,-7
1294420146031087814,3168966402911366017,11
5287630084761234524,3168966402911366017,-7
1294420146031087814,2358588690486593328,6
5287630084761234524,2358588690486593328,11
3168966402911366017,2358588690486593328,3
1294420146031087814,9777514100930685280,10
5287630084761234524,9777514100930685280,12
3168966402911366017,9777514100930685280,3
2358588690486593328,9777514100930685280,-9
4893670626480113895,5237973623452853850,11
5318165926952470422,1499651372003936527,-7
5749601154423783388,9281469018714967738,12
4801392252955189050,4904598343680400084,9
5763609977664746489,5117120638098433912,11
8013211982041668055,6414799747348342869,9
7690424853575147093,2925050312135578206,8
5217257576435838508,6997271288482645561,9
5217257576435838508,3910304439096499083,6
6997271288482645561,3910304439096499083,7
5217257576435838508,5630539636516270419,9
6997271288482645561,5630539636516270419,6
3910304439096499083,5630539636516270419,5
5217257576435838508,9375194879081878767,2
6997271288482645561,9375194879081878767,10
3910304439096499083,9375194879081878767,-9
5630539636516270419,9375194879081878767,-7
7197436083942616936,1726852992290466740,-9
7197436083942616936,6260006539900104325,1
1726852992290466740,6260006539900104325,7
7197436083942616936,6720159654115365650,7
1726852992290466740,6720159654115365650,12
6260006539900104325,6720159654115365650,-9
7019114246511894310,8053250885452458566,10
7019114246511894310,9259559673538118827,9
8053250885452458566,9259559673538118827,10
7019114246511894310,5191688678560648099,9
8053250885452458566,5191688678560648099,11
9259559673538118827,5191688678560648099,7
7019114246511894310,2514726232811176664,10
8053250885452458566,2514726232811176664,3
9259559673538118827,2514726232811176664,8
5191688678560648099,2514726232811176664,10
7019114246511894310,5415608202449486181,11
8053250885452458566,5415608202449486181,-7
9259559673538118827,5415608202449486181,-9
5191688678560648099,5415608202449486181,1
2514726232811176664,5415608202449486181,5
1211473136967628607,1580824398912300445,10
1211473136967628607,3516854454117070055,9
1580824398912300445,3516854454117070055,5
1211473136967628607,5980946882893728728,1
1580824398912300445,5980946882893728728,4
3516854454117070055,5980946882893728728,12
1211473136967628607,6342029958749632317,8
1580824398912300445,6342029958749632317,11
3516854454117070055,6342029958749632317,7
5980946882893728728,6342029958749632317,11
1211473136967628607,1618835842525318453,7
1580824398912300445,1618835842525318453,8
3516854454117070055,1618835842525318453,1
5980946882893728728,1618835842525318453,9
6342029958749632317,1618835842525318453,1
1211473136967628607,5749560932383917697,12
1580824398912300445,5749560932383917697,4
3516854454117070055,5749560932383917697,-9
5980946882893728728,5749560932383917697,9
6342029958749632317,5749560932383917697,5
1618835842525318453,5749560932383917697,11
1473062644592104854,4286560693890544548,5
4980600356190578981,1776972379262187415,2
4980600356190578981,1446878343724391049,8
1776972379262187415,1446878343724391049,6
4980600356190578981,1291480202820469918,8
1776972379262187415,1291480202820469918,7
1446878343724391049,1291480202820469918,1
7182731485352050857,9163768241330785139,-7
2783778458982362615,4013060829887539966,5
2783778458982362615,9400315287396248236,12
4013060829887539966,9400315287396248236,2
2783778458982362615,2217362364361983366,-9
4013060829887539966,2217362364361983366,2
9400315287396248236,2217362364361983366,6
2783778458982362615,6075714247170861350,9
4013060829887539966,6075714247170861350,4
9400315287396248236,6075714247170861350,11
2217362364361983366,6075714247170861350,8
2783778458982362615,8764138847275173032,3
4013060829887539966,8764138847275173032,4
9400315287396248236,8764138847275173032,12
2217362364361983366,8764138847275173032,9
6075714247170861350,8764138847275173032,9
2783778458982362615,7394690072002072587,4
4013060829887539966,7394690072002072587,-9
9400315287396248236,7394690072002072587,3
2217362364361983366,7394690072002072587,8
6075714247170861350,7394690072002072587,12
8764138847275173032,7394690072002072587,-9
8357237007570532881,8803757751303516701,11
8357237007570532881,4805262935675901793,8
8803757751303516701,4805262935675901793,7
8357237007570532881,5398968322547236901,11
8803757751303516701,5398968322547236901,10
4805262935675901793,5398968322547236901,3
5859671102696371124,1021665902465302768,-9
5859671102696371124,5816801565862637233,6
1021665902465302768,5816801565862637233,3
5859671102696371124,7160622215938473365,8
1021665902465302768,7160622215938473365,11
5816801565862637233,7160622215938473365,11
5859671102696371124,1409048110828844189,5
1021665902465302768,1409048110828844189,12
5816801565862637233,1409048110828844189,4
7160622215938473365,1409048110828844189,6
5859671102696371124,2249277744002612738,4
1021665902465302768,2249277744002612738,8
5816801565862637233,2249277744002612738,11
7160622215938473365,2249277744002612738,9
1409048110828844189,2249277744002612738,5
1197429185066561603,4138346447573983425,-7
1648874500510661048,7717273928482990591,2
1648874500510661048,3473035445658093926,7
7717273928482990591,3473035445658093926,10
1648874500510661048,7197016185425246267,3
7717273928482990591,7197016185425246267,7
3473035445658093926,7197016185425246267,4
1648874500510661048,9083237904233737298,2
7717273928482990591,9083237904233737298,4
3473035445658093926,9083237904233737298,-7
7197016185425246267,9083237904233737298,11
8568203395848162312,5249644053375565971,12
8568203395848162312,6403239112802852101,4
5249644053375565971,6403239112802852101,3
8568203395848162312,9962374995203204949,-9
5249644053375565971,9962374995203204949,5
6403239112802852101,9962374995203204949,10
9672684802102231701,7942550628217973523,12
9672684802102231701,5600301173439815025,3
7942550628217973523,5600301173439815025,11
9672684802102231701,2122606035210971331,12
7942550628217973523,2122606035210971331,9
5600301173439815025,2122606035210971331,3
8101121071703700173,7495344572020780820,7
8101121071703700173,3307777532062686058,1
7495344572020780820,3307777532062686058,8
8101121071703700173,1083156431472850534,3
7495344572020780820,1083156431472850534,4
3307777532062686058,1083156431472850534,2
8101121071703700173,6058415894353124840,1
7495344572020780820,6058415894353124840,6
3307777532062686058,6058415894353124840,1
1083156431472850534,6058415894353124840,4
9267383564333829499,9537397373332935469,7
9267383564333829499,1595081051752929662,3
9537397373332935469,1595081051752929662,8
9267383564333829499,4922583554188261277,11
9537397373332935469,4922583554188261277,7
1595081051752929662,4922583554188261277,5
9267383564333829499,6271881299183351326,-7
9537397373332935469,6271881299183351326,9
1595081051752929662,6271881299183351326,3
4922583554188261277,6271881299183351326,1
9267383564333829499,9072679881870854209,-7
9537397373332935469,9072679881870854209,-7
1595081051752929662,9072679881870854209,4
4922583554188261277,9072679881870854209,5
6271881299183351326,9072679881870854209,-7
2068238147939726522,7750030369023647293,6
4329016465700739694,2213446607751921990,-7
5006549062877164223,1055642746178458774,11
8419276738382401418,9777001244006929413,12
9217455091188722219,6409946975754877519,11
9217455091188722219,7863693751909780846,5
6409946975754877519,7863693751909780846,11
9217455091188722219,4648352725921149507,12
6409946975754877519,4648352725921149507,4
7863693751909780846,4648352725921149507,7
5689219093040871245,5305551673009042947,4
6329189195009997187,2602193860653777776,5
5727695758093441812,4512417522352506034,-9
5727695758093441812,7965825539344687794,7
4512417522352506034,7965825539344687794,3
5727695758093441812,1627157962479844297,9
4512417522352506034,1627157962479844297,11
7965825539344687794,1627157962479844297,9
5727695758093441812,2134747639748362513,12
4512417522352506034,2134747639748362513,2
7965825539344687794,2134747639748362513,3
1627157962479844297,2134747639748362513,8
5727695758093441812,4800368369841086530,6
4512417522352506034,4800368369841086530,11
7965825539344687794,4800368369841086530,-7
1627157962479844297,4800368369841086530,9
2134747639748362513,4800368369841086530,6
9374360438978527977,4467926654166849210,7
2935930943162301236,8610229544754963821,3
2935930943162301236,3291042049811846699,-9
8610229544754963821,3291042049811846699,4
2935930943162301236,7536837900132836225,10
8610229544754963821,7536837900132836225,12
3291042049811846699,7536837900132836225,10
4287274452440499698,3998984739496219864,7
4287274452440499698,2132946242450774870,6
3998984739496219864,2132946242450774870,-7
4287274452440499698,1207310800793632397,10
3998984739496219864,1207310800793632397,3
2132946242450774870,1207310800793632397,1
4287274452440499698,5287388978310142233,-9
3998984739496219864,5287388978310142233,-7
2132946242450774870,5287388978310142233,4
1207310800793632397,5287388978310142233,11
3951451915254782557,4132731294544165346,11
5750864100983632027,7458599718456949489,11
2892635132637818930,5428062434388917664,10
2892635132637818930,1586684627334036566,2
5428062434388917664,1586684627334036566,11
7808689413526431372,4437551715268876719,-7
9384704667412965884,9462684471024224704,2
4318882204909765050,2888353896543572062,8
4318882204909765050,4827369620957113074,-9
2888353896543572062,4827369620957113074,12
4318882204909765050,5000015864237905384,-9
2888353896543572062,5000015864237905384,12
4827369620957113074,5000015864237905384,-9
1790266976881110112,1710615389169365186,3
1790266976881110112,5825132559512165730,9
1710615389169365186,5825132559512165730,4
1790266976881110112,5900871109682763157,6
1710615389169365186,5900871109682763157,-9
5825132559512165730,5900871109682763157,7
1790266976881110112,2194469982457367136,7
1710615389169365186,2194469982457367136,12
5825132559512165730,2194469982457367136,5
5900871109682763157,2194469982457367136,2
1790266976881110112,8618790804470866320,5
1710615389169365186,8618790804470866320,-9
5825132559512165730,8618790804470866320,8
5900871109682763157,8618790804470866320,5
2194469982457367136,8618790804470866320,11
1790266976881110112,4683933337046945623,10
1710615389169365186,4683933337046945623,3
5825132559512165730,4683933337046945623,8
5900871109682763157,4683933337046945623,7
2194469982457367136,4683933337046945623,10
8618790804470866320,4683933337046945623,1
8840902475162799043,1527909423762606398,1
1952878366382269718,3129481968616788462,10
1952878366382269718,7178775411837307150,8
3129481968616788462,7178775411837307150,1
1952878366382269718,8501034128248614590,2
3129481968616788462,8501034128248614590,12
7178775411837307150,8501034128248614590,2
8027964022505790140,9605521825011647214,-7
8027964022505790140,2290978890150725817,5
9605521825011647214,2290978890150725817,3
8027964022505790140,6286342617538340900,-9
9605521825011647214,6286342617538340900,-7
2290978890150725817,6286342617538340900,11
8027964022505790140,2556463967589616860,9
9605521825011647214,2556463967589616860,7
2290978890150725817,2556463967589616860,10
6286342617538340900,2556463967589616860,8
1769579559810490964,4357040034202963646,5
1769579559810490964,5666306273591637224,9
4357040034202963646,5666306273591637224,-7
1769579559810490964,5732769726489935311,7
4357040034202963646,5732769726489935311,4
5666306273591637224,5732769726489935311,11
1769579559810490964,2164473534523124700,7
4357040034202963646,2164473534523124700,10
5666306273591637224,2164473534523124700,5
5732769726489935311,2164473534523124700,6
1805020202824134449,3707497870705274372,2
1805020202824134449,2659628711265057672,3
3707497870705274372,2659628711265057672,5
1805020202824134449,1556814331940444894,5
3707497870705274372,1556814331940444894,10
2659628711265057672,1556814331940444894,-7
6826645261389697642,1566840482203654169,11
6826645261389697642,3172418606471498825,11
1566840482203654169,3172418606471498825,7
6826645261389697642,7728894233514708106,9
1566840482203654169,7728894233514708106,4
3172418606471498825,7728894233514708106,2
6826645261389697642,4156256403001924993,1
1566840482203654169,4156256403001924993,12
3172418606471498825,4156256403001924993,4
7728894233514708106,4156256403001924993,9
1971674856241090193,2114405448417685926,9
1971674856241090193,9361955379119174857,6
2114405448417685926,9361955379119174857,12
1971674856241090193,6062959336100950521,3
2114405448417685926,6062959336100950521,1
9361955379119174857,6062959336100950521,-7
1467350279354338349,7401080360565406545,2
1467350279354338349,8765616335275628649,4
7401080360565406545,8765616335275628649,3
3267361844834571799,5055419706121784626,6
1664091914563985725,9844969670632946191,1
1664091914563985725,4836205162672770370,7
9844969670632946191,4836205162672770370,1
1664091914563985725,6571614620590767737,5
9844969670632946191,6571614620590767737,5
4836205162672770370,6571614620590767737,12
1664091914563985725,9025242773822660116,10
9844969670632946191,9025242773822660116,1
4836205162672770370,9025242773822660116,5
6571614620590767737,9025242773822660116,2
5543950735982627668,8972198466528207557,10
5543950735982627668,3756899906159755534,-7
8972198466528207557,3756899906159755534,11
5543950735982627668,3351181105317929070,10
8972198466528207557,3351181105317929070,12
3756899906159755534,3351181105317929070,10
7989037172353388650,9938977689560030312,3
7274784492747095696,6694868037594788829,10
9209579830663,7641071811686609707,1
6119977754054549546,6915085737561816892,12
6119977754054549546,4082605983437825050,1
6915085737561816892,4082605983437825050,-7
6119977754054549546,7814065236663997703,12
6915085737561816892,7814065236663997703,1
4082605983437825050,7814065236663997703,5
6119977754054549546,5197968937317938623,7
6915085737561816892,5197968937317938623,4
4082605983437825050,5197968937317938623,10
7814065236663997703,5197968937317938623,12
5345721959396690118,4445623032627964996,1
1813355441219345415,5584666328720698295,7
1813355441219345415,1741867092305263320,4
5584666328720698295,1741867092305263320,5
7268790873561642970,4782997599720139488,-7
7268790873561642970,7075054502578662868,12
4782997599720139488,7075054502578662868,-7
7268790873561642970,6625578503479886204,-9
4782997599720139488,6625578503479886204,-9
7075054502578662868,6625578503479886204,7
7268790873561642970,1863970172370435058,8
4782997599720139488,1863970172370435058,4
7075054502578662868,1863970172370435058,6
6625578503479886204,1863970172370435058,9
7268790873561642970,7712465294284502697,11
4782997599720139488,7712465294284502697,9
7075054502578662868,7712465294284502697,8
6625578503479886204,7712465294284502697,1
1863970172370435058,7712465294284502697,12
6667821036696859649,7841131072364439593,1
3461537757854134187,8558253463286083670,-7
3461537757854134187,5343799124252501957,12
8558253463286083670,5343799124252501957,1
9850927266530896090,2733016054164393645,9
4009480811234620196,2526324808407003676,8
4009480811234620196,9100178558479947211,-7
2526324808407003676,9100178558479947211,3
3978985969439379391,3114599778146920311,-9
3978985969439379391,8735318862277316775,-7
3114599778146920311,8735318862277316775,2
9204199123288083246,2087865332863353993,6
9204199123288083246,9004162108986405525,11
2087865332863353993,9004162108986405525,12
3168766194556219040,5031488906363821196,7
3168766194556219040,4914394280673701105,5
5031488906363821196,4914394280673701105,9
9443464839801082740,1499645711438326207,7
9443464839801082740,8408318571010768770,-7
1499645711438326207,8408318571010768770,4
9443464839801082740,6361952001437427880,7
1499645711438326207,6361952001437427880,8
8408318571010768770,6361952001437427880,7
9443464839801082740,3550089789676019886,-7
1499645711438326207,3550089789676019886,6
8408318571010768770,3550089789676019886,1
6361952001437427880,3550089789676019886,8
5303643653390936409,5684603214734359933,3
5303643653390936409,6629277113053346854,11
5684603214734359933,6629277113053346854,6
5303643653390936409,8287725236929387125,4
5684603214734359933,8287725236929387125,7
6629277113053346854,8287725236929387125,4
5303643653390936409,7539723366584298559,4
5684603214734359933,7539723366584298559,4
6629277113053346854,7539723366584298559,-7
8287725236929387125,7539723366584298559,10
5303643653390936409,9990156817762927486,11
5684603214734359933,9990156817762927486,4
6629277113053346854,9990156817762927486,2
8287725236929387125,9990156817762927486,11
7539723366584298559,9990156817762927486,7
3780194911951034489,6113845422846147209,10
6322349606434584512,9005173607307433353,8
5158924290820587147,4063087819062521862,10
5158924290820587147,4929548866859781083,10
4063087819062521862,4929548866859781083,-9
5158924290820587147,8267589417073426587,5
4063087819062521862,8267589417073426587,3
4929548866859781083,8267589417073426587,4
5158924290820587147,2150106976738640933,2
4063087819062521862,2150106976738640933,11
4929548866859781083,2150106976738640933,4
8267589417073426587,2150106976738640933,8
5158924290820587147,6213409431278381754,-9
4063087819062521862,6213409431278381754,-7
4929548866859781083,6213409431278381754,8
8267589417073426587,6213409431278381754,1
2150106976738640933,6213409431278381754,8
9295385622467679291,4400941782706198707,-7
9295385622467679291,1195402358371019226,-9
4400941782706198707,1195402358371019226,6
9295385622467679291,8485199824732407988,7
4400941782706198707,8485199824732407988,8
1195402358371019226,8485199824732407988,8
9295385622467679291,6818610735788345532,2
4400941782706198707,6818610735788345532,5
1195402358371019226,6818610735788345532,-7
8485199824732407988,6818610735788345532,8
7250825821548963925,9423726649242237736,10
7250825821548963925,3629682749427851509,5
9423726649242237736,3629682749427851509,4
2366947412906021290,2720401783946570503,9
4920193246482745575,6412101937677201331,6
5279667005428502105,7954028477086162805,10
8879854847037111950,1290148433999347273,9
8879854847037111950,6527019167411254011,3
1290148433999347273,6527019167411254011,1
8879854847037111950,2961424465098004887,8
1290148433999347273,2961424465098004887,5
6527019167411254011,2961424465098004887,9
8879854847037111950,1618402275992312992,12
1290148433999347273,1618402275992312992,12
6527019167411254011,1618402275992312992,1
2961424465098004887,1618402275992312992,6
1646333375491399926,5373284973076706029,9
1646333375491399926,2936607882281531928,1
5373284973076706029,2936607882281531928,-9
1646333375491399926,3899889725288905993,4
5373284973076706029,3899889725288905993,7
2936607882281531928,3899889725288905993,10
8311015782040882974,7147206733201792558,8
8311015782040882974,4723545895939984865,8
7147206733201792558,4723545895939984865,2
8311015782040882974,9066765790252885467,12
7147206733201792558,9066765790252885467,4
4723545895939984865,9066765790252885467,8
8311015782040882974,6241304853327351678,2
7147206733201792558,6241304853327351678,2
4723545895939984865,6241304853327351678,1
9066765790252885467,6241304853327351678,10
4680131769990316119,8462763098507001105,10
6939766152696187016,6677898734107862021,9
6939766152696187016,7916798741153338501,7
6677898734107862021,7916798741153338501,1
6939766152696187016,1482118895344467226,-7
6677898734107862021,1482118895344467226,9
7916798741153338501,1482118895344467226,7
1997154375967743431,3093956034701525031,6
