UNIQUE_ID,cluster_number,Dataset
c5301490724485014845,0,CCS
c5796342435356987048,0,CEN
c2739464955449173255,1,CEN
c6253891567400289786,1,CCS
c4506841649469364841,2,CCS
c4995880719988105176,2,CEN
c7062546823650750502,3,CEN
c2372299874775561663,3,CEN
c6139228379947985943,3,CCS
c1635997426031697541,3,CCS
c6305109147137656393,4,CEN
c2238238256263352623,4,CCS
c1315325770114053388,5,CEN
c8863969667833269812,5,CCS
c5073209633897194748,5,CCS
c5431874306510651093,6,CEN
c3062320184715815500,6,CCS
c4600627972553534492,7,CCS
c2550559310521838280,7,CEN
c4330515360038199901,8,CCS
c1410144517626377554,8,CEN
c2242704117263777987,10,CCS
c5869811140172239284,10,CEN
c7266864758230318505,11,CEN
c7144334346338032469,11,CCS
c6846190654297137921,12,CEN
c1403162218526023644,12,CCS
c2675658589964433552,13,CEN
c3813607227779029899,13,CCS
c7295557459060503406,14,CEN
c2210234692561841062,14,CCS
c1880757395110588110,15,CCS
c1428674888743044604,15,CEN
c2691390109375125363,16,CCS
c2730702511776408408,16,CEN
c9113553053424895299,17,CEN
c1007477551454282033,17,CCS
c7522186860284158125,18,CEN
c3945483351632893530,18,CCS
c6423770673344966014,19,CCS
c6496827653218524124,19,CEN
c5811019630536124058,20,CEN
c2610135703586915975,20,CEN
c3365661660515373685,20,CCS
c1105298270599215641,21,CCS
c8280152996785884005,21,CEN
c1965716733230668057,22,CCS
c8102243945830491312,22,CEN
c3217657474314729717,23,CEN
c8421602684165214653,23,CCS
c7311930364992758439,26,CEN
c8089586623229745922,26,CCS
c2092949524744929729,27,CEN
c7523152763343913500,27,CCS
c8399256458176292772,28,CCS
c6151675398927560740,28,CEN
c8082195705522534889,29,CEN
c5795164697493468442,29,CCS
c3147961434500849263,29,CCS
c6699289670028987682,30,CCS
c3082648784263939879,30,CEN
c2070447693557960112,30,CCS
c7785140447215107508,31,CCS
c8657991504937765604,31,CEN
c6921576946480661074,32,CCS
c2431585800737162519,32,CEN
c3221039811720439690,33,CCS
c7845192308027947734,33,CEN
c3626819591507123656,34,CCS
c1364503531419846607,34,CEN
c8440776782932418384,35,CEN
c1725141220325106212,35,CCS
c4124550925991627859,35,CEN
c7325126120078539743,36,CCS
c6945994143333442014,36,CEN
c6801928069298447461,37,CEN
c5918170593827310336,37,CCS
c7429334226454684299,38,CCS
c2282755282937534742,38,CEN
c3294187614074300780,39,CEN
c5712564751075896930,39,CCS
c2525651686406039513,40,CEN
c9180980186714193314,40,CCS
c5798463552169950852,41,CCS
c8958409888711670047,41,CEN
c3508808401066071725,42,CCS
c7163690538195428450,42,CEN
c8917760081007306169,43,CEN
c4314604693343534363,43,CCS
c6161691386615795134,44,CEN
c4021381612899666943,44,CCS
c8017175340044451435,44,CCS
c3231401545299646094,47,CEN
c1027259749486799821,47,CEN
c1692733318236714477,47,CCS
c6452331799253132273,47,CCS
c2511699121411926219,48,CCS
c5986953817351767534,48,CEN
c5958742947093457619,49,CEN
c5982631672170945333,49,CCS
c2765067554771067107,50,CEN
c6469117248737078710,50,CCS
c2521558312951123865,51,CCS
c1701443631812934363,51,CEN
c1969856202241761162,52,CCS
c5197178004742034200,52,CEN
c7852477677614629557,53,CCS
c6984273759970378132,53,CEN
c4645407903503285298,54,CEN
c1068532711922161928,54,CCS
c4554919331346280520,55,CCS
c5399584400414808396,55,CCS
c5301743236617987727,55,CEN
c6525426745288170670,55,CEN
c8447017003796843258,56,CCS
c2933718983656973112,56,CEN
c7607321052958367457,58,CEN
c5613465989096768485,58,CCS
c6335840776939441191,59,CCS
c4326085647234297566,59,CEN
c8418256493230608175,60,CCS
c5027563213148268139,60,CEN
c1925839174275210595,61,CEN
c1534569690661505285,61,CCS
c6755230663201339849,63,CEN
c1066241011074494609,63,CCS
c6580101954714829848,64,CEN
c6572724121655684074,64,CCS
c3040879499179992744,65,CCS
c8973283667513744750,65,CEN
c6981789549120572960,66,CEN
c5088086178866417473,66,CCS
c7492138271105918240,67,CCS
c1488220398055628404,67,CEN
c2775883422437850966,68,CCS
c7121922495092705817,68,CEN
c2369132251386766775,69,CCS
c8793844290383190281,69,CEN
c3161804043688084997,70,CCS
c1933730018963436695,70,CEN
c7551227600385089018,71,CCS
c7848718374970667411,71,CEN
c2298297405347457741,72,CEN
c4228507526802370607,72,CCS
c1921395451344011350,73,CCS
c8362167977396174277,73,CEN
c4072371922952404606,74,CCS
c3079945606316271417,74,CEN
c8891783329019954419,75,CEN
c7804298483415190355,75,CCS
c1740673303431588049,76,CCS
c4706071295952182611,76,CEN
c3823524345681182813,77,CEN
c4747504091516325236,77,CCS
c6399271101443354720,78,CCS
c7461725880144735570,78,CEN
c5554994297409713631,80,CEN
c2448572843236053759,80,CCS
c4567768405237627625,81,CEN
c8026121890232475987,81,CCS
c3596292725283962373,82,CEN
c3446059220289464572,82,CCS
c7573870230006570228,83,CEN
c1424347112408153798,83,CCS
c4729587867870105233,84,CCS
c6796233388738065399,84,CEN
c4659063788604383073,85,CCS
c8741824521593588238,85,CEN
c4631255021158490355,86,CEN
c7961376961510953442,86,CCS
c5674283407075449334,87,CEN
c8634582649842584010,87,CCS
c1348184770600605093,88,CEN
c3644699792816585404,88,CCS
c8888352674382971290,89,CEN
c6286658367314225606,89,CCS
c7292577254015120097,91,CCS
c7089109564711006734,91,CEN
c5928296658089816885,92,CEN
c2011403870673835329,92,CCS
c6067674168285189115,93,CEN
c6819771960677112858,93,CCS
c8803453888528718746,93,CCS
c8212219146646890167,94,CEN
c3263063164272343973,94,CCS
c6410561108015388694,95,CCS
c8987933139105712967,95,CEN
c3797578848467017059,96,CCS
c6273107133030419946,96,CEN
c7137189973095757297,97,CEN
c9180410069442302829,97,CCS
c6945533891983041406,98,CEN
c6066948451086821744,98,CCS
c7817030516433076447,99,CEN
c4174201371721976688,99,CCS
c2100611213948998166,100,CEN
c7460999114831796389,100,CCS
c3259940888068156789,101,CCS
c5582658272781151599,101,CEN
c7909997392804662194,101,CEN
c3137198895833053529,102,CEN
c7428022553941088490,102,CCS
c3955401866234635780,103,CEN
c5582124210019880213,103,CCS
c2850239277233917054,104,CCS
c3766143179768496390,104,CEN
c3506681689718658218,105,CEN
c5677680295107002700,105,CCS
c3722178541805778268,106,CEN
c8684748596431776946,106,CCS
c4141114713840147398,107,CCS
c1795024392415156385,107,CEN
c8881293405427176423,108,CCS
c4054209752437483661,108,CEN
c5357737912362834208,108,CEN
c5146239827010621708,109,CCS
c8632345986218081645,109,CEN
c3884682281106776618,109,CEN
c7522745971841867674,110,CCS
c3814216039358123387,110,CEN
c4678770296892957714,111,CEN
c5566775470859964917,111,CCS
c9478638793328666096,111,CCS
c4206553620939191785,112,CCS
c8964323283324081823,112,CEN
c7111120252278240619,113,CEN
c5773917437933264959,113,CCS
c8648917202965845185,114,CCS
c1335325473348688231,114,CEN
c4697289615470411665,114,CEN
c3150748866264700995,115,CCS
c3878973399269530461,115,CEN
c3738866766263734577,116,CCS
c2124861458388144290,116,CEN
c5391678644944263131,117,CCS
c6561473484160416759,117,CEN
c1343659264256547055,118,CEN
c6475257266547146043,118,CCS
c4689854367385733417,121,CEN
c8474918771731368179,121,CCS
c3275772635297514137,122,CEN
c7510794619238678739,122,CCS
c2319054490244455290,123,CCS
c5574291270953078951,123,CEN
c5394243249575854680,124,CEN
c2370313492183383638,124,CCS
c2632943167664745151,125,CCS
c6027928602726361067,125,CCS
c5080524892957716948,125,CEN
c4154265119508358100,126,CCS
c5499163478298323150,126,CEN
c7237327885501350309,127,CCS
c5072653367973413059,127,CEN
c4001595872493467688,130,CCS
c6182078728879063397,130,CEN
c6805867146231114065,131,CCS
c2681297495876433018,131,CEN
c1309994457017142017,131,CCS
c1194316210418599663,132,CEN
c6275118100986959187,132,CCS
c8225855455216511138,133,CCS
c1880459812349855767,133,CEN
c2369628543997253249,134,CEN
c3750556656627671274,134,CCS
c4889385956301403962,134,CCS
c1245170660948457869,135,CEN
c6334771595707461436,135,CCS
c8357358516143430431,136,CEN
c2487585704889471659,136,CCS
c7829298868654773308,137,CEN
c3506794651791124805,137,CCS
c6882059379875395135,138,CEN
c4928217427351584347,138,CCS
c1215387163520337098,139,CCS
c4334638425190164630,139,CEN
c2307406045615568541,140,CCS
c6223853465818083268,140,CEN
c4819941071637453806,141,CCS
c2808675943930446267,141,CEN
c1995171757668612383,142,CEN
c8203699108681842535,142,CCS
c8391021278913239639,143,CEN
c8617386102836058846,143,CCS
c2793434193144840901,144,CCS
c1223714099108251858,144,CEN
c6204731941394546960,145,CCS
c5587266429134407620,145,CEN
c3647446057235358759,145,CEN
c1378772124517592794,146,CCS
c4901060484434344941,146,CEN
c1389844075461842184,147,CCS
c8362876616500539834,147,CEN
c2081006298445074637,148,CEN
c8065012894092342712,148,CCS
c5895574172461382666,148,CEN
c8069098698798141037,149,CEN
c8697157057459015868,149,CCS
c7005082426629015402,150,CEN
c6012390835208488303,150,CCS
c8995323549983500643,151,CEN
c6739596918125787102,151,CCS
c4248925403001603387,152,CEN
c1491293611639754517,152,CCS
c7609746322535565479,153,CEN
c6754843152978355429,153,CCS
c1693578055975830248,156,CEN
c6446012430984995319,156,CCS
c7374400479804042951,157,CCS
c3734646593094563461,157,CEN
c1956257623099888924,157,CEN
c4200320985918463085,159,CCS
c1403724948990193106,159,CEN
c8799909491716621257,160,CCS
c5554029537363780775,160,CCS
c9160009821275081876,160,CEN
c3419019194847760984,160,CEN
c2195351173062179509,161,CCS
c2639217516992455798,161,CEN
c6437658877304282358,162,CEN
c7938251005711585291,162,CCS
c1403981440832669234,162,CCS
c5425015324231973822,164,CEN
c2323481662355773179,164,CCS
c4524327522407114625,165,CEN
c3654086992102792399,165,CCS
c1222928520374587416,167,CEN
c3865318037071345742,167,CEN
c2147284163087176150,167,CCS
c3106690867404964135,168,CCS
c4932166944303199877,168,CEN
c4385593807959534531,169,CCS
c4298859528602342208,169,CEN
c5419812957256654362,170,CCS
c7970605616811878168,170,CEN
c5046107371591269913,171,CEN
