ID_CEN,ID_CCS,cluster_number
c7121922495092705817,c2775883422437850966,2
,c5881927303117504928,2
c1488220398055628404,c7492138271105918240,2
,c2497088794617998818,12
c7407192858628245678,c3728521952256390369,12
c7669618907753235622,c5972407763497417179,12
c9148741401608181682,c5972407763497417179,12
c1829123846159966276,c1852278134779147791,13
,c2434210801819331086,13
c8587794076404138835,c2346221840656728821,13
c8512064509089723028,c1959272258640182780,17
c2257018872510690033,c2839761636290654417,17
c9093264663893277717,,17
c3883421074243146028,c3516793880762049737,18
c3742051685362380182,,18
c1414009411384522611,c4832992726232864722,18
,c8188865522723296690,20
c4771479911243076210,c3940355218207728645,20
c4662528637570445271,c6781887824948692758,20
c6426296912645507501,c4134805874773925600,20
c6125530033465191298,c4784766354129886859,20
c9139588211503918941,c9124481003389231165,20
c6426296912645507501,c5909145933865901002,20
c2684373096741987029,c7931039665365544469,21
c4292547350033849992,,21
c6976230428948120598,c5929615467844773095,21
c8241284783156727154,c3345426429264555184,21
c6976230428948120598,c9145266044514614014,21
c5767594123868966464,c8632562022848608327,21
,c5720468810551896594,25
c8355175906660271635,c3326078501807756357,25
c5799165754301554456,c2939979956434078159,26
c8278888799307980304,,26
c8514164920054494004,c5946442929765964286,26
c5799165754301554456,c6527129450840462434,26
c6372015514533048632,c2843309725719714844,30
c6798717640496335163,c3799829521883836316,30
c5011314171938063369,c7902618185022054803,30
c8848896592891718914,c6148302998104317046,30
,c5229899899674683118,30
c5105238828357076718,c8182110092554276181,40
,c2972190969627394881,40
c1471840427833004073,,40
,c2256353826309411604,40
,c2531447179000201110,43
c1070063297245767033,c8405139845314787300,43
c9183768750642643960,c5785523950498826609,43
c8743206998283990718,,44
c2376357165210171807,c9755149071926446479,44
c2429594839066983042,c7620168137951617638,44
c4675492875687211662,c9203528979118515877,44
c4435891919954486793,c4859718710122211271,44
,c4303985131691793408,50
c9439538448739070503,c3468867530531871900,50
c1913939985906899620,c4424978669141285021,50
c3165731848299157591,c3468867530531871900,50
c1888203093259991906,c8645569585637696815,50
c6301148695484061853,c8651868775358076466,50
c7860405494163319506,,53
c5291845999441200508,c8757541988126161496,53
c8556854469298558772,c1162923919685702443,53
c8514548140253389418,c2627095818467336360,56
c6405903297960741631,,56
c1449639033693747933,,59
c6895478504398165893,c1324758970973639211,59
c4735431617428516057,,61
c8923897732968533533,,61
c2809520860283999301,c4684377591742129439,62
c8510917853247060131,c4239547561901611561,62
c1671612307584056445,,62
c3892252818504601223,,62
,c5613749061537937414,62
c6172504477181140859,c6700339191060288885,62
,c3887509109708213531,65
c5693360596801554981,c4321804198513246253,65
c9561187086311572907,c3984751939742770485,65
c8200496740445914564,c1275037445219114821,65
c2946120857730219243,c1520583415797524983,65
c5327847399545200410,c2029960935442070032,65
c5587768978930160846,c5936323866720983409,65
c3848228408605537534,c3819583907333462656,66
,c8423114891544384013,66
c1747936414957399058,c5401491239067515174,73
,c4274818965998889583,73
,c6021693197376351647,73
c1749556729191495079,c2226165402072234756,73
c9202325522861340931,c6006394151746007913,73
c7884277419709409926,c2148412216903985808,74
c5838008568816830941,,74
c2026443738331305613,,81
c7120606098841338564,,81
c5335440254777827960,c6816466467292942499,84
c1014256895163722751,,84
c3284071698882728632,c6311549695900099361,85
c3958042095793201014,c6311549695900099361,85
c9677182041604316225,,85
c1818309330833566140,c4414431467406427994,89
c1640800259620408992,c5867145667630617542,89
c7556696037884320647,c3230037902716670537,89
c4754444651933378259,,89
c1915403397422544381,c7001079359701719386,89
c3043262605721916750,c6587962998615936106,89
c3809476565836875553,,90
c7569375792000605204,,90
c6583574513864140333,c1977696750438858973,91
c1502254969924094962,c1808003202497758024,91
c6851718435525523838,,91
c4361794860056546495,c7150148145526118983,91
c6607209886776260100,,93
,c8886498373520125059,93
,c8766903742801613775,96
c2741179372606133530,c7097638806735324734,96
c3235447136691243072,c4609336818918799746,96
c8063679216826899895,c3443553612230482043,96
,c6613425070167613051,99
