HH_ID_CEN,HH_ID_CCS,cluster_number
h41453906613918586,,2
,h82512558614785605,2
h32067459748462947,,12
,h60383438168094913,12
h92804768589351321,,13
,h51578402146043446,13
h79421567432228510,,17
,h96712811782015470,17
h95292140201414744,,18
,h88906279493435877,18
h66226118137148690,,20
,h20057631217499095,20
h72641825592355592,,21
,h24544647765545064,21
h82590420072180402,,25
,h65553380995376673,25
h22625399745300223,,26
,h12780663642358261,26
h44742632455274621,,30
,h72026886554531900,30
