ID_CEN,ID_CCS,cluster_number
c7121922495092705817,c2775883422437850966,2
,c5881927303117504928,2
c1488220398055628404,c7492138271105918240,2
,c2497088794617998818,12
c7407192858628245678,c3728521952256390369,12
c7669618907753235622,c5972407763497417179,12
c9148741401608181682,c5972407763497417179,12
c1829123846159966276,c1852278134779147791,13
,c2434210801819331086,13
c8587794076404138835,c2346221840656728821,13
c8512064509089723028,c1959272258640182780,17
c2257018872510690033,c2839761636290654417,17
c9093264663893277717,,17
c3883421074243146028,c3516793880762049737,18
c3742051685362380182,,18
c1414009411384522611,c4832992726232864722,18
,c8188865522723296690,20
c4771479911243076210,c3940355218207728645,20
c4662528637570445271,c6781887824948692758,20
c6426296912645507501,c4134805874773925600,20
c6125530033465191298,c4784766354129886859,20
c9139588211503918941,c9124481003389231165,20
c6426296912645507501,c5909145933865901002,20
c2684373096741987029,c7931039665365544469,21
c4292547350033849992,,21
c6976230428948120598,c5929615467844773095,21
c8241284783156727154,c3345426429264555184,21
c6976230428948120598,c9145266044514614014,21
c5767594123868966464,c8632562022848608327,21
,c5720468810551896594,25
c8355175906660271635,c3326078501807756357,25
c5799165754301554456,c2939979956434078159,26
c8278888799307980304,,26
c8514164920054494004,c5946442929765964286,26
c5799165754301554456,c6527129450840462434,26
c6372015514533048632,c2843309725719714844,30
c6798717640496335163,c3799829521883836316,30
c5011314171938063369,c7902618185022054803,30
c8848896592891718914,c6148302998104317046,30
,c5229899899674683118,30
