HH_ID_CEN,HH_ID_CCS
h73593195239767386,h45448183944415871
h51912362409134853,h45448183944415871
h97469235871106234,h45448183944415871
h40041425478346673,h45448183944415871
h97374017287013498,h45448183944415871
h91163763257240105,h45448183944415871
h66472156576888785,h45448183944415871
h22233070859302904,h45448183944415871
h91813364436928388,h45448183944415871
h23303623348714898,h45448183944415871
h70745864440492081,h45448183944415871
h78338001045979535,h45448183944415871
h48591612863731516,h45448183944415871
h39175695337136839,h45448183944415871
h89121702458535198,h45448183944415871
h95787927883480484,h45448183944415871
h49929736784085731,h45448183944415871
h35292561937238667,h45448183944415871
h24469858741535176,h45448183944415871
h87335851810400255,h45448183944415871
h52747277073351050,h31457338106128541
h98793155927892563,h31457338106128541
h22625399745300223,h31457338106128541
h71162862831189704,h31457338106128541
h57611916203022691,h31457338106128541
h14727748221232964,h72101280681009320
h35144425792828970,h72101280681009320
h33586122290679759,h72101280681009320
h51217025255306149,h72101280681009320
h72805702224895766,h72101280681009320
h94139457432751723,h72101280681009320
h54509253010180492,h72101280681009320
h55040271895530421,h72101280681009320
h79291003601549295,h72101280681009320
h30415867473608848,h72101280681009320
h20340443986419598,h72101280681009320
h62161215264464359,h72101280681009320
h88364625689193417,h72101280681009320
h35159099336206675,h72101280681009320
h96429314458791987,h72101280681009320
h61685390343298809,h72101280681009320
h35910931299594451,h72101280681009320
h71878632933499632,h72101280681009320
h33002197434973981,h72101280681009320
h80880524887740868,h72101280681009320
h47106266124587399,h72101280681009320
h83319411110875650,h72101280681009320
h75682494692767617,h72101280681009320
h36607310711995762,h94605800644900292
h48311573755332571,h94605800644900292
h81983129993515054,h94605800644900292
h30535807469681548,h94605800644900292
h45619939043582563,h94605800644900292
h41354034229014999,h94605800644900292
h26323329715744099,h94605800644900292
h65029148616564643,h94605800644900292
h69073509383412738,h94605800644900292
h46256276880956492,h94605800644900292
h26972357475733811,h94605800644900292
h94823369823345473,h94605800644900292
h17395874993701514,h94605800644900292
h41869612659934234,h94605800644900292
h90263132319167311,h84580032320274614
h64713719091457961,h84580032320274614
h37835953577226807,h84580032320274614
h81576296418925237,h84580032320274614
h31963534748052514,h84580032320274614
h74281131581720368,h84580032320274614
h77372878955971185,h84580032320274614
h12564011678440719,h84580032320274614
h49727607994970325,h84580032320274614
h79033594209978901,h84580032320274614
h28355838773620165,h84580032320274614
h54648675693920484,h84580032320274614
h53557885982439480,h21832186703778876
h37879114979319985,h21832186703778876
h21386517431634169,h21832186703778876
h29410019021311073,h21832186703778876
h60459918910551785,h21832186703778876
h24506910570868809,h21832186703778876
h96504121069153160,h21832186703778876
h47922835056820242,h21832186703778876
h62893502571154875,h21832186703778876
h75839601558999335,h21832186703778876
h42014048308838483,h21832186703778876
h93614026224072528,h21832186703778876
h47943840157311059,h21832186703778876
h45701419322867334,h21832186703778876
h73712914847883415,h21832186703778876
h41509834331846214,h29222994228150539
h85522364522526290,h29222994228150539
h59584143743829948,h29222994228150539
h99197935134244874,h29222994228150539
h41997220379091559,h29222994228150539
h83424903827351300,h29222994228150539
h46885992017276833,h29222994228150539
h17039919629724891,h29222994228150539
h31146544117751460,h29222994228150539
h27165188109807913,h29222994228150539
h25956687331274326,h29222994228150539
h40598563331846043,h29222994228150539
h31433267554284141,h29222994228150539
h29821508293593141,h29222994228150539
h88821936837509532,h29222994228150539
h19732507796289809,h29222994228150539
h43401698847524912,h29222994228150539
h33789076050987726,h29222994228150539
h48092324727685425,h29222994228150539
h87832776929004391,h29222994228150539
h33107915018999286,h27149123971681083
h18961354369622849,h27149123971681083
h34605261582916758,h27149123971681083
h60935527198718123,h27149123971681083
h85096734910858198,h27149123971681083
h58745495370354151,h27149123971681083
h72697531460966412,h27149123971681083
h27036087836619851,h27149123971681083
h72617349268015254,h27149123971681083
h47961139137323912,h27149123971681083
h53753022166569877,h27149123971681083
h22829719878516109,h27149123971681083
h93302345677802673,h27149123971681083
h76983995221063911,h27149123971681083
h87468299889020503,h27149123971681083
h91398520039421711,h27149123971681083
h42967013723329180,h27149123971681083
h45698647210795012,h27149123971681083
h68172014131942698,h27149123971681083
h77158670879340022,h27149123971681083
h18794842860504873,h27149123971681083
h56929854699449667,h27149123971681083
h45081488829681020,h99129563217850886
h15785983716160315,h99129563217850886
h86380040188487631,h99129563217850886
h90597088317913146,h99129563217850886
h93253856867931583,h99129563217850886
h39602090518497982,h99129563217850886
h86369456036477411,h99129563217850886
h83631877371770121,h99129563217850886
h83831253561169782,h99129563217850886
h35366003190450747,h99129563217850886
h29676355401406712,h99129563217850886
h65416470695422551,h99129563217850886
h37370301082176364,h99129563217850886
h10745549071455569,h99129563217850886
h75827579094525852,h99129563217850886
h31416604496611816,h99129563217850886
h25784304728440818,h99129563217850886
h19775903643367763,h99129563217850886
h50469636278354602,h52451803953775642
h97820005109413506,h52451803953775642
h87422462054064287,h52451803953775642
h39225819748026411,h52451803953775642
h76784221327782850,h52451803953775642
h54472163847037484,h52451803953775642
h35356378330950960,h52451803953775642
h70667748881996347,h52451803953775642
h96115015016166271,h52451803953775642
h33685975315272409,h52451803953775642
h96533119634029711,h52451803953775642
h87981956989490791,h52451803953775642
h99343520647024300,h52451803953775642
h80420883857307968,h18046550092283555
h80821085158417178,h18046550092283555
h72641825592355592,h18046550092283555
h52649265171715611,h18046550092283555
h63542176573777556,h18046550092283555
h62613338800161534,h18046550092283555
h24825412655896883,h18046550092283555
h98332459843624425,h18046550092283555
h85503255652897871,h18046550092283555
h37893619924579047,h18046550092283555
h12706667648098573,h14135263608434383
h50084568963528392,h14135263608434383
h41960691549594674,h14135263608434383
h24527024391241729,h14135263608434383
h23970871467378019,h14135263608434383
h43884609918729212,h14135263608434383
h34198026151068595,h14135263608434383
h28790985293920319,h14135263608434383
h43004701775719579,h14135263608434383
h68493090288178865,h14135263608434383
h93590204884489304,h14135263608434383
h16537244642530654,h14135263608434383
h88442174272761562,h14135263608434383
h33427891939322136,h14135263608434383
h61986927154291670,h14135263608434383
h88626072891943184,h84917366738576427
h24127653216022382,h84917366738576427
h51113202725378863,h84917366738576427
h74088252449087144,h84917366738576427
h75558040165890493,h84917366738576427
h90857643064168162,h84917366738576427
h39215827789753974,h84917366738576427
h93582938214390241,h84917366738576427
h46811067871869637,h84917366738576427
h99513431328430352,h84917366738576427
h86200622953698574,h84917366738576427
h91435176677018437,h84917366738576427
h70853045699989851,h84917366738576427
h77931879715492456,h66445736589902148
h16810684174779140,h66445736589902148
h57293842527661562,h66445736589902148
h47664513004636351,h66445736589902148
h11596863548838006,h66445736589902148
h27283575262790383,h66445736589902148
h57625458308361832,h66445736589902148
h43770701835605153,h66445736589902148
h62430628874869006,h66445736589902148
h22754863928030891,h66445736589902148
h55571752572626549,h66445736589902148
h87599923582110106,h66445736589902148
h37476991044178989,h66445736589902148
h10564133506458514,h66445736589902148
h11888242344651159,h66445736589902148
h40606113620034849,h66445736589902148
h34373799259649778,h66445736589902148
h72419711030409284,h66445736589902148
h34215526479773021,h66445736589902148
h12866341436624640,h66445736589902148
h66612545189472048,h27963952689288319
h13100801302203311,h27963952689288319
h65077604328600679,h27963952689288319
h67623169249150828,h27963952689288319
h85975717909746836,h27963952689288319
h59711847712552868,h27963952689288319
h90384589798786501,h27963952689288319
h99681241484019391,h27963952689288319
h20514073852233951,h27963952689288319
h20354056786141920,h27963952689288319
h93195941525609743,h27963952689288319
h14981343000878340,h27963952689288319
h78276261519920496,h27963952689288319
h38144540663061330,h27963952689288319
h22502827608621867,h27963952689288319
h45748600574670348,h27963952689288319
h21827400832766012,h27963952689288319
h32792239208104374,h27963952689288319
h68263700335613662,h87335555736850543
h25811903969158520,h87335555736850543
h61794261071132787,h87335555736850543
h75560167485398998,h87335555736850543
h71847929008630333,h87335555736850543
h79868725014332353,h87335555736850543
h75465392506849560,h87335555736850543
h44367915104481788,h87335555736850543
h91967611226070872,h87335555736850543
h81997322124068489,h87335555736850543
h90801523366218673,h87335555736850543
h76407525151586641,h87335555736850543
h81403738668655636,h87335555736850543
h60195660606377217,h12623713284878332
h73866493443414369,h12623713284878332
h21110296506689694,h12623713284878332
h70895103721904339,h12623713284878332
h31547478053840559,h12623713284878332
h95490645427310358,h12623713284878332
h80078093045570410,h12623713284878332
h84443909546413524,h12623713284878332
h55069573070916523,h12623713284878332
h84314685320161534,h12623713284878332
h58514162050377770,h12623713284878332
h53578551810178126,h12623713284878332
h78743295112058827,h12623713284878332
h80717898348860665,h12623713284878332
h42141729230371614,h12623713284878332
h34332732053339848,h12623713284878332
h17533967555867893,h12623713284878332
h35478234204948858,h49282357448298083
h22917971695610064,h49282357448298083
h94655128582902269,h49282357448298083
h82433063979761225,h49282357448298083
h67899155687786446,h49282357448298083
h47948020963024165,h49282357448298083
h72148266340895473,h49282357448298083
h60650580600552854,h49282357448298083
h40942070134761540,h49282357448298083
h38056524024828369,h49282357448298083
h20585357897767328,h49282357448298083
h23411233541527986,h49282357448298083
h74015315793296198,h86524887174900558
h14549424509817913,h86524887174900558
h36436342954582077,h86524887174900558
h69179770328617876,h86524887174900558
h54257493650733734,h86524887174900558
h24385575733182031,h86524887174900558
h67828054239190267,h86524887174900558
h31569181970672837,h86524887174900558
h78229104665232327,h86524887174900558
h13632873233732743,h86524887174900558
h81153869588703024,h86524887174900558
h62526080109907909,h86524887174900558
h29108351143336644,h86524887174900558
h93630315160360437,h86524887174900558
h70591244377425689,h86524887174900558
h21861697022844867,h86524887174900558
h32123156037966735,h86524887174900558
h62275230478762348,h86524887174900558
h29275152688655443,h86524887174900558
h26759361978199321,h86524887174900558
h42189164476113893,h86524887174900558
h60312983180356939,h86524887174900558
h78292518255019075,h66355168118442457
h64449455539820429,h66355168118442457
h74936066898909400,h66355168118442457
h60449739896262222,h66355168118442457
h83865821388695885,h66355168118442457
h14558144391186415,h66355168118442457
h65941703871201498,h66355168118442457
h29084515013308722,h66355168118442457
