CE_ID,Nature_Of_Establishment,Number_Of_Residents,QID
c73157067297102620,15,6,q5692742275129278
c62327934491755835,9,31,q9159104260266781
c71038472376743252,-9,40,q4802351489175694
c41349320720162517,12,10,q4333820048141450
c57810942559623493,13,21,q2470081274511853
c12728341478869962,15,36,q5320913042430706
c29052316892742241,21,14,q3184777481815513
c40305288387640991,14,33,q8583587652285584
c10864073102299812,4,48,q6099501939634432
c37372456142878357,8,10,q7790713153739163
c39015073880470332,20,15,q4826017915247985
c90856178951096391,21,16,q3482613870241453
c78558565363113746,16,23,q5053846876352351
c72407336815885211,15,14,q6124750000293603
c35160554671065875,15,11,q8479677906037215
c88009018412365430,7,38,q6999273740041968
c62130182211369039,7,16,q4726812540931088
c70410262578930484,7,6,q5050447777678753
c35153277111273493,12,14,q5957914363309394
c67160273400960248,7,19,q3073365601188670
c67975419257108480,18,30,q8539962919850387
c68360403801279711,11,14,q8031895382881155
c95125833466802102,5,43,q7120648257475401
c80635942932537193,-7,13,q7787087807830061
c27961061685023641,10,7,q4430910488833711
c48850256997048188,3,24,q4238145178887291
c74021400467218264,4,11,q4050670940859403
c94146096586785754,-7,40,q7650127966148752
c70582898941309011,1,46,q4887432871381796
c15591044645772892,11,35,q9806966247101801
c43537393606094643,7,24,q6075510323711653
c70175942793355160,16,24,q6028361322381832
c28294861246656395,3,36,q1544352313326574
c63146380361588568,21,45,q9703609633394376
c40745126609156995,8,47,q5934799147614577
c29245793191453525,2,43,q3708950347025144
c62972466795697808,9,28,q4710823726998900
c98673752023422750,21,31,q1145694346220575
c46334129471060542,3,37,q5422689406705603
c51547981320837725,22,47,q6095600597238386
c86949929552975645,14,37,q2719139218049939
c76847859073453094,20,19,q6181468301273030
c22281460299312335,-9,39,q9988780125283385
c52378846135744298,2,11,q7239389941256519
c20922614049201522,14,14,q4429993022294249
c20921116153682121,13,26,q2400007537385876
c48428562355693923,-7,10,q3262019838424463
c62429329604345488,16,19,q8786598608011175
c61699360389473341,4,32,q6961529326468102
c92217965172064669,8,10,q2624751417984628
c12716439454421219,16,27,q2741262338033856
c76135665203481838,22,42,q9497967105437564
c17830206046797676,18,26,q5382342438111250
c82784164210530804,11,32,q8125730685412020
c50418898488067042,11,12,q7119011302563881
c57610661719134262,7,7,q9619091329807542
c85416259452901292,5,28,q8267758450699595
c18622155360200567,20,47,q6266252010273235
c12325100131542596,5,6,q1386239394701596
c60582792264822302,3,34,q2196260453122623
c56346290824738990,16,27,q6570806218382393
c89924456302955930,16,9,q7814010787842250
c96955135901380349,1,22,q1733337951885304
c80502633373679829,17,47,q7572607651186423
c79091747184457467,15,12,q2042359598718068
c77855363335860085,12,21,q1987030688153058
c28509579355440992,11,32,q3515048278746284
c26536370529423502,19,41,q8307546476591450
c47991460489614329,1,28,q5368266456269725
c20515507858316072,3,22,q6708642631936085
c82088662158836932,-9,41,q6088032731155117
c67692030300859018,22,22,q2308707781838159
c74980027936676780,15,27,q9876607396408492
c47315215675458339,11,29,q2468990531591515
c18687831757618384,-9,19,q3787710450576779
c13108651434460158,3,26,q3433421227833816
c61123358762279381,6,41,q5702349424618047
c77371467522400294,11,7,q2203549265472252
c54073900511969063,1,35,q7464238393821403
c81890751559393911,14,6,q3558656769126461
c87862049291656127,3,45,q9486531681894944
c97867981211988076,11,24,q7453949218254488
c46199354776192277,17,20,q8959306948840897
c10906841449911604,17,37,q7045455355531777
c45226730390009256,-9,25,q5424687567738615
c46491816187957519,9,34,q1713682473289710
c34564407999915438,21,28,q5308041237160110
c37415042011144672,3,27,q1131129681843445
c38564063105258941,18,45,q6441507341961470
c12627508763345198,1,39,q7593499350860089
c43013900749243973,1,38,q8409593431370633
c24778398335513771,-9,16,q5273869729319711
c33859814937532296,16,32,q3494025923919121
c20730704186598828,-9,34,q4059797834051751
c47178581588736151,10,20,q9730433467402070
c35008836572369581,12,21,q9980059210474878
c49873143796088522,18,44,q2414678582029819
c79687207407740029,12,37,q8224773490446210
c89180027652689777,21,38,q5673324791067168
c97125334841099351,20,12,q4141559844812823
c75530516408757410,17,42,q7220482027092599
c12584687740283830,1,33,q9516164044550628
c97290763587744597,16,17,q7417231990907289
c56563347453151030,3,7,q7258821023162159
c57775724645254163,7,9,q1627436863792156
c73986952588341529,3,49,q5142741317639099
c34726226338028683,20,22,q3927814185999014
c20689672485802693,7,31,q1646898471621257
c72553841119700377,-7,24,q1110635782138603
c24519205029217003,14,42,q8004043492916833
c17166156854550679,13,43,q4618866207681759
c55032120774538879,-7,11,q4576071965657023
c16439362927490591,14,11,q4286034326845879
c67280249328424677,21,44,q6047690968650217
c63391231660447642,6,26,q4712136707641865
c16928707070919220,4,18,q5214481568414020
c72773457264851880,15,32,q6908504176955903
c10877312883223546,21,25,q4303873824519506
c25376322580740101,15,24,q6054054438988689
c91665431538245666,4,35,q7022019910862341
c98315995541302746,14,14,q1150860169360032
c19597222924455473,-7,16,q4976539355451352
c81127671862515077,17,10,q4853565661700392
c79658116735611839,22,18,q1793736562850025
c58792495673943972,3,36,q1559655380261136
