CE_ID,Nature_Of_Establishment,Number_Of_Residents,QID
e65214280200134329,9,31,q6666880449595928
e10236465134655909,-9,40,q8377903182557245
e40605371845917859,12,10,q4308817973101214
e56773475551562839,13,21,q3534798294675897
e35879574301524831,15,36,q6987008543626134
e88828725728968759,21,14,q6145663079697703
e77695607248444440,14,33,q1271189082925485
e83704975615734361,4,48,q2559452018739011
e42301083654490116,8,10,q7360912785788074
e88438625745423486,20,15,q4082753997405267
e26667653091409236,21,16,q4033789779241787
e26801585910326636,16,23,q1518504527150550
e23878882129546478,15,14,q3819609559872535
e37869951481447369,15,11,q2876942895413152
e64934084763100337,7,38,q2789147246457434
e77321014910817256,7,16,q4212806273210070
e89782581378886237,7,6,q8823023327499204
e11709813177082154,12,14,q7414256255157132
e24256595499082831,7,19,q3044343657610864
e70011171167238008,18,30,q5734763290918699
e67220123908053956,11,14,q5059559861180289
e73873995136842126,5,43,q3912525816180909
e82485049429248355,-7,13,q9425185896733991
e93588231624762738,10,7,q1004504351809715
e20682610384466699,3,24,q3088536947981836
e81484634692766159,4,11,q8017375183143293
e15577001235924342,-7,40,q2191029592966005
e15465198638187739,1,46,q4711919906083993
e14973162331770340,11,35,q2490260608602530
e96883632009308091,7,24,q5721122724109019
e17724734659828054,16,24,q3672004510698951
e80120092278173189,3,36,q5041405263476993
e33460375891978323,21,45,q8652985519680206
e54719107967682069,8,47,q4065277904550119
e82117888956101136,2,43,q1638422056066257
e66621638324724318,9,28,q7976904384776524
e49129366139149673,21,31,q9403651225057293
e23797392115458684,3,37,q3771002077934600
e33890700187910988,22,47,q7860698934240798
e90042213605542797,14,37,q4043348207898026
e50218288553026752,20,19,q6960595338806828
e64122557016484098,-9,39,q5278986315772448
e93330451852813409,2,11,q7091738251993753
e53000235253143375,14,14,q4771749996623640
e22546288548828077,13,26,q1965100651462741
e31493599011167903,-7,10,q5899686001499045
e62703525018935044,16,19,q3315774307701295
e91578106900643640,4,32,q4288328701000979
e33212446378064439,8,10,q6994364648761028
e69267898469372356,16,27,q3382714083128849
e18602292917776663,22,42,q5877175401429612
e62334882041942546,18,26,q9913848704680907
e21504822716189912,11,32,q1499443359477436
e45998745090062328,11,12,q3911980363166721
e69966397403814030,7,7,q3432164495938143
e65962740833987425,5,28,q2861626286906239
e35274603080031379,20,47,q8286700319457175
e87805405471784145,5,6,q7780271164238358
e33824213948572703,3,34,q7482383850219254
e84852142628223038,16,27,q9867447545266331
e96753679267065296,16,9,q2647484105641927
e16675302734517986,1,22,q2801477989794372
e19013422582408652,17,47,q9253815960660467
e48261719617201270,15,12,q1765959880141703
e46830815852622661,12,21,q9115940266606186
e26157461850125846,11,32,q8390962760998052
e13380823116955921,19,41,q7998017897121593
e13695664232762628,1,28,q2967969001276418
e93043553734527061,3,22,q5861488870631078
e52118915036493275,-9,41,q6521094721681794
e12793397596961617,22,22,q7368938487627769
e40078205137399859,15,27,q4835328670781664
e59286758445670160,11,29,q1678439546816084
e89139314756860783,-9,19,q9306925374610364
e78041386081477860,3,26,q5529778401618170
e36717272203669890,6,41,q7988219607887031
e50258338011936202,11,7,q5657316400442981
e31886007617418970,1,35,q3020793194029967
e63428318667060476,14,6,q6357243748337205
e90064274438954632,3,45,q8782647496728571
e63133495247051421,11,24,q9053057205831115
e13419628968877225,17,20,q4104616647706612
e44975383035341529,17,37,q2564432757840497
e10190564708817957,-9,25,q7712889052619999
e21421062626768410,9,34,q7830787472471329
e45564946885136889,3,27,q6098470498969462
e59979783593726049,18,45,q4668848127477374
e80237730304168749,1,39,q5740189843340715
e95015743166060326,1,38,q4985633466242327
e72095216126240831,16,32,q5417077641788490
e57053004559667059,-9,34,q3922934564868406
e24028182967907113,10,20,q9274389243664868
e49591798419849673,12,21,q2288862309059322
e29682540191052064,18,44,q3682811264204423
e57286460397542021,12,37,q7461765480554450
e26924435403228334,21,38,q1791987750515518
e47704497208621550,20,12,q4777701320448202
e77556727445619350,17,42,q4206264605661040
e32173153125035682,1,33,q4355285721976852
e76302742120619486,16,17,q4011902557826923
e26758547041019059,3,7,q1164665301623011
e82540238073078145,7,9,q2288870512141913
e75919115036123970,3,49,q9270937450261362
e43497917953631807,20,22,q6789935357765592
e11682112144454222,7,31,q5624905280710036
e35196526347115613,-7,24,q4272553421858645
e56857028524417967,14,42,q3738877352561006
e74391103280358639,13,43,q5196393693710232
e32721514789650103,-7,11,q5264809514428148
e67651279645740976,14,11,q4230312297131437
e20878517562818957,21,44,q2858643422047471
e23385465069106481,6,26,q6955135947727275
e14449217582297188,4,18,q3180945485818722
e93247677089901385,15,32,q9894024702634165
e97357049101438926,21,25,q2283357007339619
e68218841252783602,15,24,q7211456118862142
e49752210163945125,4,35,q1972623149274075
e91490154909199172,14,14,q1265745549349185
e40337329510440529,-7,16,q9149455422520947
e75507469115964586,17,10,q1753032301235520
e46307504302238293,22,18,q4077189899461406
e27949808665218424,3,36,q4042410099873213
e75556540165978176,-9,33,q6512492466889034
e78566215527550616,9,31,q6890715764522572
e54044395896064015,3,37,q7018265756983804
e90465550527206696,17,44,q1575938132754586
e22308828423138942,15,35,q2725035205327644
e61612826770193054,8,21,q5495658362507267
e81451241070012947,9,28,q9311017185403796
e25521547383363128,8,40,q4239999840159365
e35816096933095698,18,20,q6006792279939406
e99567406744635812,16,39,q6845370637270953
e84800449745381443,4,22,q4973173896128380
e82811827147513028,3,22,q5543991150315592
e35184135330429923,15,49,q7681999748904121
e11162377363414743,11,14,q1112445031898059
e30462776388768146,13,30,q8161479417511799
e13744317116403503,-9,21,q8296393760858273
e70798137135676215,10,6,q9611241350497400
e50523954832381285,21,15,q2054269676976765
e71346717542700692,15,31,q6749634476484345
e73824106402145542,-7,43,q4680373770590624
e22020559805569476,8,31,q3959357214146909
e17881924121572781,12,16,q4052658287458605
e30920454385420785,21,25,q2229449960837060
e84059058712598175,11,20,q4171077097777081
e61551305527050112,19,16,q7127030448682734
e37524102704690038,11,44,q6980557485430340
e46753463150021433,8,40,q5292553044420854
e22918207913770713,21,15,q7563935630834379
e47483981576198982,11,7,q9995740127232107
e97804592382475277,6,28,q3919601209428581
e82704204175657376,3,6,q6798306385934250
e65913524847500828,13,7,q4481003322512360
e24103958850001978,14,49,q9230043008314050
e26015728517555045,9,28,q7188872362280518
e77508446426347146,16,30,q7765982922771362
e97539365053446480,4,19,q2677475813511287
e16088126890354428,10,12,q2236906428130249
e13766553880878415,13,20,q3902161160076092
e85805496608053152,-7,34,q5054309277735847
e43340248931398534,18,16,q1995338329635430
e92264306076884773,11,49,q7334056351841516
e38021273437467156,15,43,q3473094292185542
e45873851673418425,17,13,q4929149944727173
