Accomodation_Type,Any_Relationships_CCS,From_Dummy,Household_ID,Number_Of_Usual_Residents,Ownership_Type,QID
3,,0,h73593195239767386,2,3,q1185471629336789
-3,,0,h52747277073351050,2,-9,q6050621139253552
4,,0,h14727748221232964,2,-9,q9559650672863252
3,,0,h36607310711995762,2,-9,q4060336098288410
3,,0,h51912362409134853,2,2,q3922778490064531
7,,0,h90263132319167311,2,5,q9654220872268071
6,,0,h53557885982439480,1,5,q3178898950263619
5,,0,h41509834331846214,3,-9,q8890622601438933
-7,,0,h48311573755332571,1,5,q9318213818488986
2,,0,h33107915018999286,5,-9,q3132785388537970
-7,,0,h45081488829681020,2,-9,q9528543580643835
5,,0,h50469636278354602,5,3,q1972997274475494
7,,0,h80420883857307968,2,-7,q9404564799131228
-3,,0,h12706667648098573,4,5,q8320598892111385
7,,0,h88626072891943184,1,1,q2699190611781705
-7,,0,h77931879715492456,2,-9,q2522942952748618
7,,0,h80821085158417178,5,3,q4337189624603484
6,,0,h66612545189472048,2,4,q5433300743219974
7,,0,h68263700335613662,5,-9,q6373821646286300
-3,,0,h60195660606377217,2,2,q2948810503568350
6,,0,h97469235871106234,2,3,q9068148150640397
-3,,0,h35478234204948858,5,1,q3157436454070801
-3,,0,h74015315793296198,2,-9,q7473914442793297
-9,,0,h78292518255019075,2,-9,q4283617575743281
-9,,0,h11766620398544955,2,5,q8986850708721630
7,,0,h41453906613918586,2,3,q1886764082551111
2,,0,h44153981018123093,3,1,q6172146547852065
1,,0,h97805240808780219,1,2,q9456070133526486
6,,0,h85644878336285057,2,-7,q6830692411996620
3,,0,h43762313859735059,1,-7,q3968290624458132
7,,0,h40318691211066568,5,3,q4406359278046907
-3,,0,h89701972953465875,2,-9,q3830612791974824
-9,,0,h15917109410663602,3,1,q8903449827924173
-3,,0,h84804892124588112,2,2,q5406233569538802
2,,0,h70136002443779827,2,3,q9387043750088455
4,,0,h81769845541784944,2,-9,q2674761272312312
2,,0,h62332165445533274,1,3,q6051410183435364
6,,0,h12904295607043889,2,-7,q4621416167321699
2,,0,h20809210597355140,5,3,q7776730698719146
2,,0,h78796810864442464,2,1,q6105207638879825
-9,,0,h34962273096452106,2,-9,q9316639483499474
7,,0,h10952610557825171,2,4,q8825147290864550
5,,0,h14549424509817913,5,3,q7430773183718698
2,,0,h80712928805913603,1,4,q8378313050783487
-7,,0,h86499094784312735,2,-7,q5585146027287374
-3,,0,h33585740851575656,3,-9,q3904741825895621
4,,0,h71921217652242805,2,1,q3218725189901495
2,,0,h22323046033450561,2,1,q4338866886781515
4,,0,h13100801302203311,4,-9,q1856272855435394
-3,,0,h65077604328600679,3,2,q4382231653630569
7,,0,h89578931481994287,1,-7,q4496532901003197
1,,0,h15785983716160315,1,4,q5366664294914612
-3,,0,h82286706492784905,5,5,q9371165652798425
2,,0,h76123216343856995,1,-9,q9881916028329040
1,,0,h75668664703299408,4,-9,q4879874526313899
2,,0,h51403476916568167,2,2,q1889267350667456
-7,,0,h30081570152425542,1,-7,q7530480197317684
4,,0,h47499344968050543,1,-9,q6579281840074727
