Resident_ID,Related_Resident_ID,Relationship
c1891200499629183786,c2881011016806204595,11
c1891200499629183786,c2377464629480914451,8
c2881011016806204595,c2377464629480914451,7
c1891200499629183786,c6606713119505145298,-9
c2881011016806204595,c6606713119505145298,6
c2377464629480914451,c6606713119505145298,10
c1891200499629183786,c6437221268213255567,9
c2881011016806204595,c6437221268213255567,-9
c2377464629480914451,c6437221268213255567,-7
c6606713119505145298,c6437221268213255567,6
c1929540868814640320,c3526178447044911367,7
c2995610129132546254,c5293289279194700989,1
c2995610129132546254,c3448747504414029126,11
c5293289279194700989,c3448747504414029126,3
c5137544143155433500,c5216377266577850252,4
c1931350337810656616,c5214269668899658702,12
c1931350337810656616,c6779562956517007644,4
c5214269668899658702,c6779562956517007644,12
c1931350337810656616,c7968701831819388938,3
c5214269668899658702,c7968701831819388938,11
c6779562956517007644,c7968701831819388938,3
c1931350337810656616,c1515821724348320132,1
c5214269668899658702,c1515821724348320132,-9
c6779562956517007644,c1515821724348320132,12
c7968701831819388938,c1515821724348320132,4
c6875378412326137767,c4615409792937485364,8
c6875378412326137767,c2814638700944616244,2
c4615409792937485364,c2814638700944616244,11
c6875378412326137767,c1007841317395273274,7
c4615409792937485364,c1007841317395273274,2
c2814638700944616244,c1007841317395273274,9
c5833003632929169663,c6424151392919189712,6
c5833003632929169663,c1140264218907042424,9
c6424151392919189712,c1140264218907042424,7
c5200165152763906339,c8973689381332876499,3
c5200165152763906339,c8653180049373596818,-7
c8973689381332876499,c8653180049373596818,12
c8172700994941002495,c3137825970549809775,7
c5107362456074667379,c2994396922502725976,2
c5107362456074667379,c4546130867573261224,1
c2994396922502725976,c4546130867573261224,9
c5107362456074667379,c1994495614777344651,10
c2994396922502725976,c1994495614777344651,1
c4546130867573261224,c1994495614777344651,9
c5201327240502145245,c7206146335759544411,11
c5201327240502145245,c5310383195954293356,6
c7206146335759544411,c5310383195954293356,2
c4272091209051653995,c2630715573829884419,10
c4272091209051653995,c2259020856033747214,4
c2630715573829884419,c2259020856033747214,4
c4075442966617880576,c3031304876857836212,-7
c4075442966617880576,c9198506862095908082,7
c3031304876857836212,c9198506862095908082,2
c4075442966617880576,c8079750190376554215,3
c3031304876857836212,c8079750190376554215,9
c9198506862095908082,c8079750190376554215,8
c4719744552998135399,c7636049824184149406,1
c4719744552998135399,c4602761753832260189,4
c7636049824184149406,c4602761753832260189,11
c4719744552998135399,c3357753497027288036,12
c7636049824184149406,c3357753497027288036,7
c4602761753832260189,c3357753497027288036,2
c3158818977355895550,c5113306020055303701,2
c3158818977355895550,c3576346321480870546,9
c5113306020055303701,c3576346321480870546,-7
c3158818977355895550,c6201582006148962436,-7
c5113306020055303701,c6201582006148962436,6
c3576346321480870546,c6201582006148962436,5
c3158818977355895550,c4106552445106857062,3
c5113306020055303701,c4106552445106857062,-9
c3576346321480870546,c4106552445106857062,2
c6201582006148962436,c4106552445106857062,8
c1632061556588858018,c7261510231782858851,4
c1632061556588858018,c8023586295021782872,9
c7261510231782858851,c8023586295021782872,6
c7753416201255802960,c3391307394716424680,8
