ID_CEN,ID_CCS,cluster_number
h35478234204948858,h39261416051134701,1
h41453906613918586,h82512558614785605,2
h97805240808780219,h97975545809284798,3
h12904295607043889,h12903846695120285,4
h78796810864442464,h79245095526331372,5
h54577884282215381,h93537829769779412,6
h92005471898954137,h72101280681009320,7
h85105171596951719,h31457338106128541,8
h47929611930674011,h78710890822849651,9
h56237605667556465,h84855065422931199,10
h44184670022896574,h73555695745059045,11
h32067459748462947,h60383438168094913,12
h92804768589351321,h51578402146043446,13
h99020310338397990,h70906647131931471,14
h99948892597357799,h35268862817320342,15
h97374017287013498,h79827510849513485,16
h79421567432228510,h96712811782015470,17
h95292140201414744,h88906279493435877,18
h53296452318428354,h68400382237316122,19
h66226118137148690,h20057631217499095,20
h72641825592355592,h24544647765545064,21
h54326714526756670,h36848458895065420,22
h34250212941604376,h46991192102451905,23
h51053079826723915,h21375356645239547,24
h82590420072180402,h65553380995376673,25
h22625399745300223,h12780663642358261,26
h57293842527661562,h56561371353908478,27
h98522212958546392,h72159999592234460,28
h81708155170011647,h91334363176573405,29
h44742632455274621,h72026886554531900,30
h42141300709746346,h65207362980743548,31
h30535807469681548,h28623460731515595,32
h16822317284757006,h63566619611849502,33
h87272860440130038,h78284208486828281,34
h10732450603660961,h14080217426641391,35
h62161215264464359,h17307710041534926,36
h21749971441499462,h10429983651893408,37
h33481847482759735,h53515214234356333,38
h60449739896262222,h84785757538753783,39
h96104083616682852,h68927951626374182,40
h43010894006116447,h18774966747841607,41
h75781192090821882,h79538016806089924,42
h58584544525151374,h67964339057261723,43
h92939084271713157,h15221245684801470,44
h99710867242473138,h46721273932252870,45
h29410019021311073,h74055666844139126,46
h53538856252362221,h83262494412177656,47
h37796419421766764,h46340884831059463,48
h43316894392943442,h90850932234204304,49
h38912986180473847,h32215874515451657,50
h25825620360808614,h47164004886498930,51
h16928717503092525,h41399375683283355,52
h51366475632720912,h44361213603649488,53
h69671384489037248,h39232488046243648,54
h27036087836619851,h53774943273890101,55
h80078093045570410,h39594891235493561,56
h62064180274521134,h98259365902176915,57
h17039919629724891,h21989195046791555,58
h43770701835605153,h79992839267269548,59
h39602090518497982,h38988903041303007,60
h47316080997565125,h32866322797672094,61
h76155568734079992,h53150094139158091,62
h50411064354034311,h44017528469589821,63
h87089881628908348,h18109814824783943,64
h62430628874869006,h29337757912219827,65
h60916520641366736,h96123012252295708,66
h25197769603173728,h91019758817354333,67
h51788034973336014,h30099567079299199,68
h21536343195307038,h81979804518011983,69
h22754863928030891,h31144938730623163,70
h63248572492295756,h86797244513197530,71
h39225819748026411,h65090126871840432,72
h46176258517668298,h39153955174328704,73
h96563296241959287,h19139801495168676,74
h86623078306651450,h73478182558811081,75
h86476133564019767,h20370584327954020,76
h55571752572626549,h80716250465384597,77
h14953353384763083,h99060056726258778,78
h54675256832972298,h79366306063456186,79
h55310730741927568,h29093504754812473,80
h64494990291638303,h89057249921709297,81
h57109163501119720,h24824350775404251,82
h69843907088595652,h80967103105641718,83
h12556746164957639,h15225175842136845,84
h31433267554284141,h82808414919127042,85
h62967240189656003,h34800780540280569,86
h67144936007084762,h89665978111525413,87
h25096179434451040,h80822983829097817,88
h19991205645007437,h62228173716589042,89
h53984661442526888,h96372577729540178,90
h46074049294690405,h15657710104056324,91
h63493254572308815,h55397602198793635,92
h45821320233884617,h70907396980001437,93
h44543729239919006,h16055337104486996,94
h93452742538533875,h61276738391845520,95
h31742276464113984,h81775915788302155,96
h27584599773670619,h10299861952799294,97
h69431066459249626,h33775266733463017,98
h45596965044321995,h18263660927360391,99
h57562793022626103,h54183367242138518,100
h51515326706366119,h83535648877830760,101
h22925449685529022,h86442359440874000,102
h69300662338868852,h41954601188397912,103
h37369813790808572,h19279357951426523,104
h53624316356706462,h60666896167232930,105
h59407742135394540,h54242627519382640,106
h52446121968315290,h44621370031750871,107
h39029309926505105,h99142160452822724,108
h80109163611263614,h84868847425225736,109
h29108351143336644,h97012020549279224,110
h64588590803825276,h43740444575151404,111
h93630315160360437,h59430565529245894,112
h60549759071790968,h80457240578681791,113
h70605984258528061,h72582992212349212,114
h16841121194835658,h90403856902676052,115
h88308120041156248,h43131930558149238,116
h37425409615294843,h36241318063294061,117
h43708613200789821,h78268549330170006,118
h57596447888872481,h68078772550913783,119
h45748600574670348,h30256405731034623,120
h75294533828997216,h13073130177161763,121
h43014111048194449,h35727885912762977,122
h10790934013662426,h71579179591556156,123
h69955056228612660,h67961234523823757,124
h81157786873127089,h26329599469831477,125
h45841525935905756,h71259264486843942,126
h70957563139607299,h87763527423152666,127
h93614026224072528,h28428735655972829,128
h91918185419658352,h39392198130391482,129
h21271399972575498,h49108749195506909,130
h64721621458593813,h77255456505424910,131
h58953087505142401,h95768248093881587,132
h80717898348860665,h14996437451488111,133
h10004120415292300,h52878227657067461,134
h51084214669248516,h45949726285306411,135
h20382769631272824,h22907344638748716,136
h55661311908770184,h13057451139303263,137
h39175695337136839,h32664777976366423,138
h14416735806450954,h32358770284719142,139
h70180044459476856,h35736170785768239,140
h69087518423635413,h31369447406572572,141
h61989831276159584,h22070317747631297,142
h64167415144397202,h30898858548928146,143
h49940479216097048,h55363999673930015,144
h94291116368530240,h15202116614555229,145
h53411000112594761,h22172932423024083,146
h36788878321559402,h28136087736726544,147
h67594523046634556,h53621248593246524,148
h73383870924620238,h60030129117692167,149
h90741769287871378,h66823085187873256,150
h30287309113883299,h41085938907107157,151
h25561290929951812,h64039990670447309,152
h36482819329273924,h98722682678187760,153
h67938786156301588,h93384424443978270,154
h86852254091805169,h12013267747182606,155
h60632814501344797,h56323237674794813,156
h77232227440123214,h97775951864797737,157
h79100896598652757,h47817649150001592,158
h84696283257936958,h64414170049019245,159
h62261515370019866,h66978446836685805,160
h16537244642530654,h99555329543265476,161
h25552481027416752,h37448935172397151,162
h24971254996948576,h21199399019097979,163
h20025251176777877,h22711027499163175,164
h38056524024828369,h71572553827279754,165
h18794842860504873,h64943978345126356,166
h33284455744010694,h43303805459607564,167
h34570742574064427,h75272787758381500,168
h25069367650549807,h23505949376458615,169
h55506806649935588,h33684482912220709,170
h88347724796787143,h44434726564540212,171
