HH_ID_CEN,HH_ID_CCS,CCS_address_type,cluster_number,,,,,,
h35478234204948858,h39261416051134701,h,1,,,,,,
h41453906613918586,h82512558614785605,h,2,,,,,,
h97805240808780219,h97975545809284798,h,3,,,,,,
h12904295607043889,h12903846695120285,h,4,,,,,,
h78796810864442464,h79245095526331372,h,5,,,,,,
h54577884282215381,h93537829769779412,h,6,,,,,,
h92005471898954137,h72101280681009320,h,7,,,,,,
h85105171596951719,h31457338106128541,h,8,,,,,,
h47929611930674011,h78710890822849651,h,9,,,,,,
h56237605667556465,h84855065422931199,h,10,,,,,,
h44184670022896574,h73555695745059045,h,11,,,,,,
h32067459748462947,h60383438168094913,h,12,,,,,,
h92804768589351321,h51578402146043446,h,13,,,,,,
h99020310338397990,h70906647131931471,h,14,,,,,,
h99948892597357799,h35268862817320342,h,15,,,,,,
h97374017287013498,h79827510849513485,h,16,,,,,,
h79421567432228510,h96712811782015470,h,17,,,,,,
h95292140201414744,h88906279493435877,h,18,,,,,,
h53296452318428354,h68400382237316122,h,19,,,,,,
h66226118137148690,h20057631217499095,h,20,,,,,,
h72641825592355592,h24544647765545064,h,21,,,,,,
h54326714526756670,h36848458895065420,h,22,,,,,,
h34250212941604376,h46991192102451905,h,23,,,,,,
h51053079826723915,h21375356645239547,h,24,,,,,,
h82590420072180402,h65553380995376673,h,25,,,,,,
h22625399745300223,h12780663642358261,h,26,,,,,,
h57293842527661562,h56561371353908478,h,27,,,,,,
h98522212958546392,h72159999592234460,h,28,,,,,,
h81708155170011647,h91334363176573405,h,29,,,,,,
h44742632455274621,h72026886554531900,h,30,,,,,,
h42141300709746346,h65207362980743548,h,31,,,,,,
h30535807469681548,h28623460731515595,h,32,,,,,,
h16822317284757006,h63566619611849502,h,33,,,,,,
h87272860440130038,h78284208486828281,h,34,,,,,,
h10732450603660961,h14080217426641391,h,35,,,,,,
h62161215264464359,h17307710041534926,h,36,,,,,,
h21749971441499462,h10429983651893408,h,37,,,,,,
h33481847482759735,h53515214234356333,h,38,,,,,,
h60449739896262222,h84785757538753783,h,39,,,,,,
h96104083616682852,h68927951626374182,h,40,,,,,,
h43010894006116447,h18774966747841607,h,41,,,,,,
h75781192090821882,h79538016806089924,h,42,,,,,,
h58584544525151374,h67964339057261723,h,43,,,,,,
h92939084271713157,h15221245684801470,h,44,,,,,,
h99710867242473138,h46721273932252870,h,45,,,,,,
h29410019021311073,h74055666844139126,h,46,,,,,,
h53538856252362221,h83262494412177656,h,47,,,,,,
h37796419421766764,h46340884831059463,h,48,,,,,,
h43316894392943442,h90850932234204304,h,49,,,,,,
h38912986180473847,h32215874515451657,h,50,,,,,,
h25825620360808614,h47164004886498930,h,51,,,,,,
h16928717503092525,h41399375683283355,h,52,,,,,,
h51366475632720912,h44361213603649488,h,53,,,,,,
h69671384489037248,h39232488046243648,h,54,,,,,,
h27036087836619851,h53774943273890101,h,55,,,,,,
h80078093045570410,h39594891235493561,h,56,,,,,,
h62064180274521134,h98259365902176915,h,57,,,,,,
h17039919629724891,h21989195046791555,h,58,,,,,,
h43770701835605153,h79992839267269548,h,59,,,,,,
h39602090518497982,h38988903041303007,h,60,,,,,,
h47316080997565125,h32866322797672094,h,61,,,,,,
h76155568734079992,h53150094139158091,h,62,,,,,,
h50411064354034311,h44017528469589821,h,63,,,,,,
h87089881628908348,h18109814824783943,h,64,,,,,,
h62430628874869006,h29337757912219827,h,65,,,,,,
h60916520641366736,h96123012252295708,h,66,,,,,,
h25197769603173728,h91019758817354333,h,67,,,,,,
h51788034973336014,h30099567079299199,h,68,,,,,,
h21536343195307038,h81979804518011983,h,69,,,,,,
h22754863928030891,h31144938730623163,h,70,,,,,,
h63248572492295756,h86797244513197530,h,71,,,,,,
h39225819748026411,h65090126871840432,h,72,,,,,,
h46176258517668298,h39153955174328704,h,73,,,,,,
h96563296241959287,h19139801495168676,h,74,,,,,,
h86623078306651450,h73478182558811081,h,75,,,,,,
h86476133564019767,h20370584327954020,h,76,,,,,,
h55571752572626549,h80716250465384597,h,77,,,,,,
h14953353384763083,h99060056726258778,h,78,,,,,,
h54675256832972298,h79366306063456186,h,79,,,,,,
h55310730741927568,h29093504754812473,h,80,,,,,,
h57109163501119720,h24824350775404251,h,82,,,,,,
h69843907088595652,h80967103105641718,h,83,,,,,,
h12556746164957639,h15225175842136845,h,84,,,,,,
h31433267554284141,h82808414919127042,h,85,,,,,,
h62967240189656003,h34800780540280569,h,86,,,,,,
h67144936007084762,h89665978111525413,h,87,,,,,,
h25096179434451040,h80822983829097817,h,88,,,,,,
h19991205645007437,h62228173716589042,h,89,,,,,,
h46074049294690405,h15657710104056324,h,91,,,,,,
h63493254572308815,h55397602198793635,h,92,,,,,,
h45821320233884617,h70907396980001437,h,93,,,,,,
h44543729239919006,h16055337104486996,h,94,,,,,,
h93452742538533875,h61276738391845520,h,95,,,,,,
h31742276464113984,h81775915788302155,h,96,,,,,,
h27584599773670619,h10299861952799294,h,97,,,,,,
h69431066459249626,h33775266733463017,h,98,,,,,,
h45596965044321995,h18263660927360391,h,99,,,,,,
h57562793022626103,h54183367242138518,h,100,,,,,,
h51515326706366119,h83535648877830760,h,101,,,,,,
h22925449685529022,h86442359440874000,h,102,,,,,,
h69300662338868852,h41954601188397912,h,103,,,,,,
h37369813790808572,h19279357951426523,h,104,,,,,,
h53624316356706462,h60666896167232930,h,105,,,,,,
h59407742135394540,h54242627519382640,h,106,,,,,,
h52446121968315290,h44621370031750871,h,107,,,,,,
h39029309926505105,h99142160452822724,h,108,,,,,,
h80109163611263614,h84868847425225736,h,109,,,,,,
h29108351143336644,h97012020549279224,h,110,,,,,,
h64588590803825276,h43740444575151404,h,111,,,,,,
h93630315160360437,h59430565529245894,h,112,,,,,,
h60549759071790968,h80457240578681791,h,113,,,,,,
h70605984258528061,h72582992212349212,h,114,,,,,,
h16841121194835658,h90403856902676052,h,115,,,,,,
h88308120041156248,h43131930558149238,h,116,,,,,,
h37425409615294843,h36241318063294061,h,117,,,,,,
h43708613200789821,h78268549330170006,h,118,,,,,,
h57596447888872481,h68078772550913783,h,119,,,,,,
h45748600574670348,h30256405731034623,h,120,,,,,,
h75294533828997216,h13073130177161763,h,121,,,,,,
h43014111048194449,h35727885912762977,h,122,,,,,,
h10790934013662426,h71579179591556156,h,123,,,,,,
h69955056228612660,h67961234523823757,h,124,,,,,,
h45841525935905756,h71259264486843942,h,126,,,,,,
h70957563139607299,h87763527423152666,h,127,,,,,,
h93614026224072528,h28428735655972829,h,128,,,,,,
h91918185419658352,h39392198130391482,h,129,,,,,,
h21271399972575498,h49108749195506909,h,130,,,,,,
h64721621458593813,h77255456505424910,h,131,,,,,,
h58953087505142401,h95768248093881587,h,132,,,,,,
h80717898348860665,h14996437451488111,h,133,,,,,,
h10004120415292300,h52878227657067461,h,134,,,,,,
h51084214669248516,h45949726285306411,h,135,,,,,,
h20382769631272824,h22907344638748716,h,136,,,,,,
h55661311908770184,h13057451139303263,h,137,,,,,,
h39175695337136839,h32664777976366423,h,138,,,,,,
h14416735806450954,h32358770284719142,h,139,,,,,,
h70180044459476856,h35736170785768239,h,140,,,,,,
h69087518423635413,h31369447406572572,h,141,,,,,,
h61989831276159584,h22070317747631297,h,142,,,,,,
h64167415144397202,h30898858548928146,h,143,,,,,,
h49940479216097048,h55363999673930015,h,144,,,,,,
h94291116368530240,h15202116614555229,h,145,,,,,,
h53411000112594761,h22172932423024083,h,146,,,,,,
