ID_CEN,ID_CCS,cluster_number
c2933718983656973112,c8447017003796843258,1
c7607321052958367457,c5613465989096768485,1
,c6335840776939441191,1
,c8418256493230608175,1
c4326085647234297566,,1
c5027563213148268139,,1
c7121922495092705817,c2775883422437850966,2
,c5881927303117504928,2
c1488220398055628404,c7492138271105918240,2
c2298297405347457741,,3
,c4228507526802370607,3
c8212219146646890167,c3263063164272343973,4
,c6410561108015388694,4
c8987933139105712967,,4
c5582658272781151599,c3259940888068156789,5
c7909997392804662194,,5
c3137198895833053529,,5
,c3259940888068156789,5
,c7428022553941088490,5
c5587266429134407620,c6204731941394546960,6
c3647446057235358759,,6
,c6204731941394546960,6
c8584090581941539681,c4047871407404916480,7
c3223408479908800643,c8795252651358707452,7
c4794827204476285153,c3776891334592166807,7
c2289024428113223591,c3776891334592166807,7
c7878232744439482755,c6373066479436770428,7
c3167282008451900712,c1592602513270991015,7
c6037815195191622328,c1836215809919460698,7
c8252493262882298451,,7
,c6373066479436770428,7
c1659810864204588134,c3827467401731987884,8
c6660429650604508904,c5995984788191896662,8
,c5995984788191896662,8
c6562088832585245702,c6477815247889644409,9
c8920875970125162610,c6549104837552958236,9
c4447087722057145621,c2726970309995974255,9
c2355384587990852889,c8741552323282581573,9
,c4797927556781982442,10
c4202293322591074265,,10
c1511193646606041247,c9038629313164542127,11
c6782130147675674676,,11
c8620806156730782389,,11
,c7122862639510278860,11
,c3263563170967949684,11
,c2497088794617998818,12
c7407192858628245678,c3728521952256390369,12
c7669618907753235622,c5972407763497417179,12
c9148741401608181682,c5972407763497417179,12
c1829123846159966276,c1852278134779147791,13
,c2434210801819331086,13
c8587794076404138835,c2346221840656728821,13
c8831916747409211568,c4265031565365712964,14
c8884923783413578231,,14
,c7519715435614540106,14
c1460247882742108933,c5021055584997053281,15
c1460247882742108933,,15
,c7344192452433272764,15
c1582948227360378722,c8781133667687570313,16
c9179817981588785698,,16
c7904769633525035020,c5241990107088797523,16
,c7154765556041889581,16
c8512064509089723028,c1959272258640182780,17
c2257018872510690033,c2839761636290654417,17
c9093264663893277717,,17
c3883421074243146028,c3516793880762049737,18
c3742051685362380182,,18
c1414009411384522611,c4832992726232864722,18
c6023136067522611247,,19
,c3932628489748544374,19
c2001796029141130664,c5517728202130617234,19
c2088949951519379555,c6754224861869074504,19
c2406128382446630697,c8140940255054385668,19
c8410820070167401506,c6921315795459555794,19
,c8188865522723296690,20
c4771479911243076210,c3940355218207728645,20
c4662528637570445271,c6781887824948692758,20
c6426296912645507501,c4134805874773925600,20
c6125530033465191298,c4784766354129886859,20
,c9124481003389231165,20
c9139588211503918941,,20
c6426296912645507501,c5909145933865901002,20
c2684373096741987029,c7931039665365544469,21
c4292547350033849992,,21
c6976230428948120598,c5929615467844773095,21
c8241284783156727154,c3345426429264555184,21
c6976230428948120598,c9145266044514614014,21
c5767594123868966464,c8632562022848608327,21
c4894596158245559023,,22
,c1798305382813954928,22
c9220867850990082026,,22
,c7283621156855693943,22
c9220867850990082026,c7234820856791368135,22
c3455222298161596795,c2404000805639748084,23
c8710765417059110670,,23
,c4642369266516972466,23
c8044687964511171520,,24
,c4094467331139162795,24
,c5720468810551896594,25
c8355175906660271635,,25
,c3326078501807756357,25
c5799165754301554456,c2939979956434078159,26
c8278888799307980304,,26
c8514164920054494004,c5946442929765964286,26
c5799165754301554456,c6527129450840462434,26
c4927280207677053759,,27
,c3301743640242839252,27
c4024255700080214042,c8749133137826502691,27
c5962514191970316721,c8749133137826502691,27
c4839459581611076780,,28
,c2464781298407231485,28
c6863447558912499558,c4390741689838643761,28
c4773219191760817305,,29
,c8137281865051466992,29
c6372015514533048632,,30
,c2843309725719714844,30
c6798717640496335163,c3799829521883836316,30
c5011314171938063369,c7902618185022054803,30
c8848896592891718914,c6148302998104317046,30
,c5229899899674683118,30
c5073782506669877065,c8382152460203299068,31
c3308792914386827036,,31
,c3484394512900731941,31
c4061531026323649509,c1989844609206189723,32
c6503739578907833049,,32
,c6807727800523237568,32
c7700551606193387804,c8092712284051673626,33
c7866474131523973515,,33
,c4003259744849553886,33
c7585352110157033566,c9111445964693410925,34
c6656628870429302874,,34
c8398387031055791257,,35
,c2868278440960356301,35
c5212795012836335924,c5139752830239343596,36
c7601581785778073979,,36
c3057975222122745940,,36
,c5662075543644390230,36
,c2161848311292429582,36
c2747200524335843488,c5242459179648331046,37
c1810239610646726701,c1578807702148039175,37
c8916599041663769528,c5771710541400875033,37
,c1360523912459053930,37
,c8391196845191915109,37
,c8697474317141574263,37
c3935514357577088798,,37
c4878678863382811015,,37
c1810239610646726701,,37
c2814911199469864076,,38
,c3258919202457034864,38
c7877724465183225152,c8028885497172896301,39
c8506445281248051591,,39
,c5999077153516340406,39
c9780623491666834891,c5645026716253023171,39
c8969775253746121830,c7492615038366016834,39
c6642421094140348438,c8784760269921718633,39
c8246560119664343183,c7942826812964909307,39
c5105238828357076718,c8182110092554276181,40
,c2972190969627394881,40
c1471840427833004073,,40
,c2256353826309411604,40
c5892884114720478974,,41
,c7746800644633244849,41
c2093738803042806639,c1929208938531702977,42
c2387588019890799548,c8175935317394572306,42
,c2531447179000201110,43
c1070063297245767033,c8405139845314787300,43
c9183768750642643960,c5785523950498826609,43
c8743206998283990718,,44
c2376357165210171807,c9755149071926446479,44
c2429594839066983042,c7620168137951617638,44
c4675492875687211662,c9203528979118515877,44
c4435891919954486793,c4859718710122211271,44
c1354181351957717083,,45
,c3239091379037271949,45
c2873358282084321964,c3404767067691943885,46
c2179739897975207939,c3801938349101278253,46
c4835452339215939851,,46
c7074428253177317363,c5065870757404209200,46
,c2200557612785871228,46
c3341467621078798413,c7961991320338278075,46
c8112837847357975955,c6564306242771125954,47
c1751159136459161978,,47
c5938945966675351542,,48
,c1977003171281805338,48
c2745501018293969934,c2801298193240560798,49
c6997377574488122387,,49
,c4303985131691793408,50
c9439538448739070503,c3468867530531871900,50
c1913939985906899620,c4424978669141285021,50
c3165731848299157591,c3468867530531871900,50
c1888203093259991906,c8645569585637696815,50
c6301148695484061853,c8651868775358076466,50
c4332361092222921066,,51
,c8555338072591706174,51
c8043133243677285260,,52
,c3231203163850375930,52
c7860405494163319506,,53
c5291845999441200508,c8757541988126161496,53
c8556854469298558772,c1162923919685702443,53
c3929057371762760328,c6904815805272272106,54
c6058549790410795728,,54
,c1322167288690855279,54
c6230694394846750931,c5750908468217684406,55
c8250509931149629996,,55
,c5516505981503528864,55
c8514548140253389418,c2627095818467336360,56
c6405903297960741631,,56
c7778884783268870747,c2078458969529744183,57
c1639114409876098451,c9848514825665559671,57
,c8035232694862392098,57
,c2971472283501476518,57
c4930561456848374603,,57
c4234014526798384519,,57
c4234014526798384519,c5409326507987201794,57
c7843048142390487709,c5048058083851717809,58
c5877806701292176760,,58
,c5048058083851717809,58
c1449639033693747933,,59
c6895478504398165893,,59
,c1324758970973639211,59
c3304932433122935666,c3225470129733179502,60
c6784741394021735806,c1971780020890305260,60
c3500943738044465495,,60
,c3308283816900174614,60
c4735431617428516057,,61
c8923897732968533533,,61
c2809520860283999301,c4684377591742129439,62
c8510917853247060131,c4239547561901611561,62
c1671612307584056445,,62
c3892252818504601223,,62
,c5613749061537937414,62
c6172504477181140859,c6700339191060288885,62
c8323721883255094244,,63
,c1456367864776807444,63
c6556422393198828704,c6491451809080828028,64
c7401283911906229670,c3399801971218903557,64
c4586798202658926248,,64
,c1977003171281805338,64
,c3887509109708213531,65
c5693360596801554981,c4321804198513246253,65
c9561187086311572907,c3984751939742770485,65
c8200496740445914564,c1275037445219114821,65
c2946120857730219243,c1520583415797524983,65
c5327847399545200410,c2029960935442070032,65
c5587768978930160846,c5936323866720983409,65
c3848228408605537534,c3819583907333462656,66
,c8423114891544384013,66
c6933797758738625492,c6386201210114493325,67
c4377862474622090970,c5394703421963870710,67
c5767947650287179985,c7432083748232171907,67
c5767947650287179985,,67
,c1076580179284336012,67
c1283482142903736964,c5896907876988189063,68
c2413471701639478346,,68
,c6353677563228763792,68
c7550607686583941425,c6560959910458062971,69
c6186485872897840921,,69
,c7041444399702456439,69
c3910891189962758602,,70
,c1693630052418875048,70
c8061152644603098483,c1941143674846383717,71
c2550270217951647274,c8664745587524599675,71
c2258382036787957883,c4970176067587027975,71
c3653164333400990589,,71
,c8255920559730057340,71
c4102498319604710224,c8744768272154537778,72
c7267608611699105748,c2968279415325394370,72
c7267608611699105748,c4861152354214457417,72
c8763606098893426995,c8383041419700231287,72
c8859501695473140017,c2001041873979051721,72
c8244683461629945827,c9128264221195595710,72
c1747936414957399058,c5401491239067515174,73
,c4274818965998889583,73
,c6021693197376351647,73
c1749556729191495079,c2226165402072234756,73
c9202325522861340931,c6006394151746007913,73
c7884277419709409926,c2148412216903985808,74
c5838008568816830941,,74
c8787931498859463792,c8118006679657199930,75
c8308137082684027378,c6007376022248954047,76
c5410417568725721021,c7723562207404300399,76
c3224084500966766750,c1746410500518789744,77
c5603409934983143356,c9205209007576338953,78
c7820787715161084226,c1314163424620867310,79
c8228268513699855786,c3820386099691760589,79
c8228268513699855786,c7627639472707102836,79
c4695127460275568471,c7358101141848782399,79
c5845035423031147541,c1112919044123084780,79
c1594008103922331393,c7777610959114859269,79
c3775724571374905548,,80
,c6958181538688195968,80
c8265169221299955324,c4470392407215787678,82
c1301274274200188576,c3790455606276753334,82
c1491594374083004704,,82
,c7069428438279274757,82
c8124531268604382234,c2783867855486482548,83
c8124531268604382234,,83
c3741826681338081593,c7461853297408291389,83
c5335440254777827960,c6816466467292942499,84
c1014256895163722751,,84
c3284071698882728632,c6311549695900099361,85
c3958042095793201014,c6311549695900099361,85
c9677182041604316225,,85
c7135407324457276522,,86
,c4421393805862451989,86
c1611777284326183841,,87
,c3008030933474740589,87
c1303748998670616280,,88
,c1129822050956217106,88
c1818309330833566140,c4414431467406427994,89
c1640800259620408992,c5867145667630617542,89
c7556696037884320647,c3230037902716670537,89
c4754444651933378259,,89
c1915403397422544381,c7001079359701719386,89
c3043262605721916750,c6587962998615936106,89
c6583574513864140333,c1977696750438858973,91
c1502254969924094962,c1808003202497758024,91
c6851718435525523838,,91
c4361794860056546495,c7150148145526118983,91
c2845638770296455426,,92
,c1469695265894225184,92
c6607209886776260100,,93
,c8886498373520125059,93
,c3406872517159665482,94
,c4490119104648951954,94
c5790886321464155194,,94
c5761917251233498381,,94
c1057120421531624477,c5691279126869179640,95
,c5691279126869179640,95
c8883036495264322306,,95
,c8766903742801613775,96
c2741179372606133530,c7097638806735324734,96
c3235447136691243072,c4609336818918799746,96
,c3443553612230482043,96
c1035437222296458616,c2941962879783111893,97
