HH_ID_CEN,HH_ID_CCS,CCS_address_type,cluster_number
h39814001061049033,h89221911902271960,h,570
,h88971506014720804,h,570
h45454384345262945,h70062795166414251,h,571
h63774808671945790,h78486867970028373,h,572
h63774808671945790,h79698344600972747,h,573
,h13191538082198243,h,573
h76414061999977425,h83467264973532497,h,574
,h77496448771219811,h,574
h36316618119184652,h87084540837357299,h,575
h33516427865742266,,h,575
h56718283729755782,h11955902213729618,h,576
h71866625761661221,h22570941156673217,h,576
h66559660802461393,,h,576
h18712719962890133,h17515531154504112,h,577
,h97640560411050375,h,577
h30150712635887783,h94485004389804001,h,578
h63092721822559800,h11335213340471485,h,578
h93485184061815359,h23210100880504572,h,579
,h14051126316677473,h,579
h12936957003711892,h57259482997489870,h,580
h34420766685789250,h85297203924824220,h,581
h81836973426055282,h49999846053999773,h,582
h89243519496587432,h52522375101390030,h,583
,h72467700668016019,h,583
h90059240557276183,h64851422341481347,h,584
h89094411318930022,,h,584
