RES_ID_CEN,RES_ID_CCS,cluster_number
c7342744674653370298,c2536708035352476120,570
c8135783688415451146,c4429291383360287825,570
c5687735696070228648,c8083235246324122432,571
c4534236285660242060,c1445346567281492658,571
c5409137078647122612,,571
,c2176198556630535894,571
c1311330096110893234,,572
c2873883290334331971,,572
c5082466344733871620,c4014720655104711150,572
c4605417970800507537,c3651123559442805441,572
,c9110487163638594451,572
c1311330096110893234,c8176901127779032968,573
c2873883290334331971,c7047271061091395492,573
c5082466344733871620,,573
c4605417970800507537,,573
c5122451170837608297,c5928751910056106955,574
c3919016215236641886,c1729477802350927672,574
c3370854532802611713,c5498615431353853286,574
,c5157708055933984959,574
,c7695408453656705143,574
,c2329778204305010883,574
,c7505907145094555040,574
c2199091950663115582,c5680661505773358826,575
c8414072737237035576,,575
c4429921079007453338,c2006782554907294741,575
c4568657382069117356,,575
c5797795186739425818,,576
c6338202127874361545,c1794615874475086756,576
c6636666373068969878,c1588619069025159857,576
c7371675193200891309,,576
c5074954247214048897,c1794615874475086756,576
c1421902864526680809,c1300608087901571517,577
c7658832015244874445,c7109509508419119694,577
c1744260087072253849,c7188469403030512400,577
c3579409301035527222,c9213736378269968698,577
,c2153798007757714623,577
,c5227571958463589463,577
c3016747200499183296,c7344745540242884878,578
c5637961303806634494,c1252798240555015535,578
c3565978371593774313,,578
c6362234605330389676,c8394450582359227329,578
,c3323195301458122300,578
c8014129549783089508,c3238837213949582760,579
c1214781555891201445,c4559323484018421763,579
,c7935216933470442175,579
,c7077403749532265659,579
c6040823025378700682,c3889254075601640900,580
c4344170068943336198,c7267570936423411444,580
,c8013344109632701709,580
,c3392303048313609381,580
c7065117546304282456,,581
c5451412595689263381,c5963753581791470294,581
c8217174197998165353,c7418004893132208833,581
c6906258443177133131,c7844649401741911838,581
,c6106438392726356625,581
c7249997275288018429,c6537278054216828346,582
c4132430548258838989,c8032648072076777505,583
c4656255094807600957,c5650564996626217092,583
,c1436338397477687589,583
,c7746136085057074858,583
c1664179103363643629,,584
c8736816576524507317,,584
c5605734518144239125,c3752492459818882008,584
c2877931830389348157,c5878705035482052882,584
c1864696867952192451,c4626752737842714317,584
